{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 0.8606 0.0649 0.0
-3.8390 -3.4890 5 10 6500 0.9526 0.3300 0.0
-3.4890 -3.1390 5 10 6500 0.9975 0.5166 0.0
-3.1390 -2.9640 5 10 6500 0.9614 0.0125 0.0
-2.9640 -2.8530 5 10 6500 1.1367 0.3483 0.0
-2.8530 -2.6500 5 10 6500 1.0804 0.0754 0.0
-2.6500 -2.5000 5 10 6500 1.0211 0.2148 0.0
-2.5000 -2.3220 5 10 6500 0.9509 -0.0262 0.0
-2.3220 -2.1720 5 10 6500 0.9477 -0.0415 0.0
-2.1720 -1.9300 5 10 6500 0.9587 0.0613 0.0
-1.9300 -1.6530 5 10 6500 0.9524 0.0626 0.0
-1.6530 -1.4790 5 10 6500 0.9523 0.0535 0.0
-1.4790 -1.3050 5 10 6500 0.9629 0.0514 0.0
-1.3050 -1.0440 5 10 6500 0.9638 -0.0037 0.0
-1.0440 -0.7830 5 10 6500 0.9758 0.0325 0.0
-0.7830 -0.5220 5 10 6500 0.9788 0.0893 0.0
-0.5220 -0.2610 5 10 6500 0.9747 0.0453 0.0
-0.2610 -0.0000 5 10 6500 0.9783 0.0952 0.0
0.0000 0.2610 5 10 6500 0.9783 0.0952 0.0
0.2610 0.5220 5 10 6500 0.9747 0.0453 0.0
0.5220 0.7830 5 10 6500 0.9788 0.0893 0.0
0.7830 1.0440 5 10 6500 0.9758 0.0325 0.0
1.0440 1.3050 5 10 6500 0.9638 -0.0037 0.0
1.3050 1.4790 5 10 6500 0.9629 0.0514 0.0
1.4790 1.6530 5 10 6500 0.9523 0.0535 0.0
1.6530 1.9300 5 10 6500 0.9524 0.0626 0.0
1.9300 2.1720 5 10 6500 0.9587 0.0613 0.0
2.1720 2.3220 5 10 6500 0.9477 -0.0415 0.0
2.3220 2.5000 5 10 6500 0.9509 -0.0262 0.0
2.5000 2.6500 5 10 6500 1.0211 0.2148 0.0
2.6500 2.8530 5 10 6500 1.0804 0.0754 0.0
2.8530 2.9640 5 10 6500 1.1367 0.3483 0.0
2.9640 3.1390 5 10 6500 0.9614 0.0125 0.0
3.1390 3.4890 5 10 6500 0.9975 0.5166 0.0
3.4890 3.8390 5 10 6500 0.9526 0.3300 0.0
3.8390 5.1910 5 10 6500 0.8606 0.0649 0.0
