{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 1.1140 1.2940 0.0
-3.8390 -3.4890 5 10 6500 1.0359 0.3515 0.0
-3.4890 -3.1390 5 10 6500 1.0030 -0.0640 0.0
-3.1390 -2.9640 5 10 6500 0.9952 -0.0947 0.0
-2.9640 -2.8530 5 10 6500 1.0118 -0.2172 0.0
-2.8530 -2.6500 5 10 6500 1.0112 -0.0480 0.0
-2.6500 -2.5000 5 10 6500 1.0071 -0.0288 0.0
-2.5000 -2.3220 5 10 6500 1.0050 0.0313 0.0
-2.3220 -2.1720 5 10 6500 1.0027 0.0254 0.0
-2.1720 -1.9300 5 10 6500 1.0007 0.0034 0.0
-1.9300 -1.6530 5 10 6500 1.0003 -0.0138 0.0
-1.6530 -1.4790 5 10 6500 0.9996 0.0016 0.0
-1.4790 -1.3050 5 10 6500 0.9993 0.0026 0.0
-1.3050 -1.0440 5 10 6500 0.9995 0.0128 0.0
-1.0440 -0.7830 5 10 6500 0.9978 0.0117 0.0
-0.7830 -0.5220 5 10 6500 1.0008 0.0006 0.0
-0.5220 -0.2610 5 10 6500 0.9994 0.0072 0.0
-0.2610 -0.0000 5 10 6500 1.0017 -0.0153 0.0
0.0000 0.2610 5 10 6500 1.0017 -0.0153 0.0
0.2610 0.5220 5 10 6500 0.9994 0.0072 0.0
0.5220 0.7830 5 10 6500 1.0008 0.0006 0.0
0.7830 1.0440 5 10 6500 0.9978 0.0117 0.0
1.0440 1.3050 5 10 6500 0.9995 0.0128 0.0
1.3050 1.4790 5 10 6500 0.9993 0.0026 0.0
1.4790 1.6530 5 10 6500 0.9996 0.0016 0.0
1.6530 1.9300 5 10 6500 1.0003 -0.0138 0.0
1.9300 2.1720 5 10 6500 1.0007 0.0034 0.0
2.1720 2.3220 5 10 6500 1.0027 0.0254 0.0
2.3220 2.5000 5 10 6500 1.0050 0.0313 0.0
2.5000 2.6500 5 10 6500 1.0071 -0.0288 0.0
2.6500 2.8530 5 10 6500 1.0112 -0.0480 0.0
2.8530 2.9640 5 10 6500 1.0118 -0.2172 0.0
2.9640 3.1390 5 10 6500 0.9952 -0.0947 0.0
3.1390 3.4890 5 10 6500 1.0030 -0.0640 0.0
3.4890 3.8390 5 10 6500 1.0359 0.3515 0.0
3.8390 5.1910 5 10 6500 1.1140 1.2940 0.0
