{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 1.0327 0.4597 0.0
-3.8390 -3.4890 5 10 6500 1.0030 0.0499 0.0
-3.4890 -3.1390 5 10 6500 0.9776 -0.0317 0.0
-3.1390 -2.9640 5 10 6500 0.9748 -0.1036 0.0
-2.9640 -2.8530 5 10 6500 1.0256 -0.1095 0.0
-2.8530 -2.6500 5 10 6500 1.0155 -0.0245 0.0
-2.6500 -2.5000 5 10 6500 0.9955 0.0244 0.0
-2.5000 -2.3220 5 10 6500 0.9924 0.0052 0.0
-2.3220 -2.1720 5 10 6500 0.9873 0.0122 0.0
-2.1720 -1.9300 5 10 6500 0.9915 -0.0024 0.0
-1.9300 -1.6530 5 10 6500 0.9900 -0.0195 0.0
-1.6530 -1.4790 5 10 6500 0.9895 -0.0109 0.0
-1.4790 -1.3050 5 10 6500 0.9932 0.0019 0.0
-1.3050 -1.0440 5 10 6500 0.9955 0.0001 0.0
-1.0440 -0.7830 5 10 6500 0.9971 -0.0014 0.0
-0.7830 -0.5220 5 10 6500 0.9979 0.0003 0.0
-0.5220 -0.2610 5 10 6500 0.9993 -0.0046 0.0
-0.2610 -0.0000 5 10 6500 0.9991 0.0039 0.0
0.0000 0.2610 5 10 6500 0.9991 0.0039 0.0
0.2610 0.5220 5 10 6500 0.9993 -0.0046 0.0
0.5220 0.7830 5 10 6500 0.9979 0.0003 0.0
0.7830 1.0440 5 10 6500 0.9971 -0.0014 0.0
1.0440 1.3050 5 10 6500 0.9955 0.0001 0.0
1.3050 1.4790 5 10 6500 0.9932 0.0019 0.0
1.4790 1.6530 5 10 6500 0.9895 -0.0109 0.0
1.6530 1.9300 5 10 6500 0.9900 -0.0195 0.0
1.9300 2.1720 5 10 6500 0.9915 -0.0024 0.0
2.1720 2.3220 5 10 6500 0.9873 0.0122 0.0
2.3220 2.5000 5 10 6500 0.9924 0.0052 0.0
2.5000 2.6500 5 10 6500 0.9955 0.0244 0.0
2.6500 2.8530 5 10 6500 1.0155 -0.0245 0.0
2.8530 2.9640 5 10 6500 1.0256 -0.1095 0.0
2.9640 3.1390 5 10 6500 0.9748 -0.1036 0.0
3.1390 3.4890 5 10 6500 0.9776 -0.0317 0.0
3.4890 3.8390 5 10 6500 1.0030 0.0499 0.0
3.8390 5.1910 5 10 6500 1.0327 0.4597 0.0
