{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 1.0642 0.8977 0.0
-3.8390 -3.4890 5 10 6500 1.0201 0.2425 0.0
-3.4890 -3.1390 5 10 6500 0.9846 -0.0307 0.0
-3.1390 -2.9640 5 10 6500 0.9835 -0.0421 0.0
-2.9640 -2.8530 5 10 6500 1.0136 -0.2188 0.0
-2.8530 -2.6500 5 10 6500 1.0139 -0.0193 0.0
-2.6500 -2.5000 5 10 6500 0.9964 0.0595 0.0
-2.5000 -2.3220 5 10 6500 0.9964 0.0267 0.0
-2.3220 -2.1720 5 10 6500 0.9880 0.0506 0.0
-2.1720 -1.9300 5 10 6500 0.9923 0.0054 0.0
-1.9300 -1.6530 5 10 6500 0.9894 -0.0040 0.0
-1.6530 -1.4790 5 10 6500 0.9887 0.0116 0.0
-1.4790 -1.3050 5 10 6500 0.9956 0.0058 0.0
-1.3050 -1.0440 5 10 6500 0.9956 0.0206 0.0
-1.0440 -0.7830 5 10 6500 0.9964 0.0141 0.0
-0.7830 -0.5220 5 10 6500 0.9971 0.0040 0.0
-0.5220 -0.2610 5 10 6500 1.0003 -0.0007 0.0
-0.2610 -0.0000 5 10 6500 1.0020 -0.0185 0.0
0.0000 0.2610 5 10 6500 1.0020 -0.0185 0.0
0.2610 0.5220 5 10 6500 1.0003 -0.0007 0.0
0.5220 0.7830 5 10 6500 0.9971 0.0040 0.0
0.7830 1.0440 5 10 6500 0.9964 0.0141 0.0
1.0440 1.3050 5 10 6500 0.9956 0.0206 0.0
1.3050 1.4790 5 10 6500 0.9956 0.0058 0.0
1.4790 1.6530 5 10 6500 0.9887 0.0116 0.0
1.6530 1.9300 5 10 6500 0.9894 -0.0040 0.0
1.9300 2.1720 5 10 6500 0.9923 0.0054 0.0
2.1720 2.3220 5 10 6500 0.9880 0.0506 0.0
2.3220 2.5000 5 10 6500 0.9964 0.0267 0.0
2.5000 2.6500 5 10 6500 0.9964 0.0595 0.0
2.6500 2.8530 5 10 6500 1.0139 -0.0193 0.0
2.8530 2.9640 5 10 6500 1.0136 -0.2188 0.0
2.9640 3.1390 5 10 6500 0.9835 -0.0421 0.0
3.1390 3.4890 5 10 6500 0.9846 -0.0307 0.0
3.4890 3.8390 5 10 6500 1.0201 0.2425 0.0
3.8390 5.1910 5 10 6500 1.0642 0.8977 0.0
