{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 1.0237 0.4027 0.0
-3.8390 -3.4890 5 10 6500 0.9909 -0.0088 0.0
-3.4890 -3.1390 5 10 6500 0.9791 -0.0185 0.0
-3.1390 -2.9640 5 10 6500 0.9760 -0.1169 0.0
-2.9640 -2.8530 5 10 6500 1.0166 0.0847 0.0
-2.8530 -2.6500 5 10 6500 0.9864 0.0318 0.0
-2.6500 -2.5000 5 10 6500 0.9754 0.0693 0.0
-2.5000 -2.3220 5 10 6500 0.9776 0.0338 0.0
-2.3220 -2.1720 5 10 6500 0.9801 0.0317 0.0
-2.1720 -1.9300 5 10 6500 0.9812 0.0015 0.0
-1.9300 -1.6530 5 10 6500 0.9812 -0.0142 0.0
-1.6530 -1.4790 5 10 6500 0.9822 -0.0187 0.0
-1.4790 -1.3050 5 10 6500 0.9870 0.0022 0.0
-1.3050 -1.0440 5 10 6500 0.9919 0.0048 0.0
-1.0440 -0.7830 5 10 6500 0.9947 -0.0008 0.0
-0.7830 -0.5220 5 10 6500 0.9977 0.0023 0.0
-0.5220 -0.2610 5 10 6500 0.9974 -0.0013 0.0
-0.2610 -0.0000 5 10 6500 0.9987 0.0078 0.0
0.0000 0.2610 5 10 6500 0.9987 0.0078 0.0
0.2610 0.5220 5 10 6500 0.9974 -0.0013 0.0
0.5220 0.7830 5 10 6500 0.9977 0.0023 0.0
0.7830 1.0440 5 10 6500 0.9947 -0.0008 0.0
1.0440 1.3050 5 10 6500 0.9919 0.0048 0.0
1.3050 1.4790 5 10 6500 0.9870 0.0022 0.0
1.4790 1.6530 5 10 6500 0.9822 -0.0187 0.0
1.6530 1.9300 5 10 6500 0.9812 -0.0142 0.0
1.9300 2.1720 5 10 6500 0.9812 0.0015 0.0
2.1720 2.3220 5 10 6500 0.9801 0.0317 0.0
2.3220 2.5000 5 10 6500 0.9776 0.0338 0.0
2.5000 2.6500 5 10 6500 0.9754 0.0693 0.0
2.6500 2.8530 5 10 6500 0.9864 0.0318 0.0
2.8530 2.9640 5 10 6500 1.0166 0.0847 0.0
2.9640 3.1390 5 10 6500 0.9760 -0.1169 0.0
3.1390 3.4890 5 10 6500 0.9791 -0.0185 0.0
3.4890 3.8390 5 10 6500 0.9909 -0.0088 0.0
3.8390 5.1910 5 10 6500 1.0237 0.4027 0.0
