{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 0.9111 -0.4003 0.0
-3.8390 -3.4890 5 10 6500 0.9830 -0.0805 0.0
-3.4890 -3.1390 5 10 6500 0.9542 -0.1589 0.0
-3.1390 -2.9640 5 10 6500 0.9545 -0.3036 0.0
-2.9640 -2.8530 5 10 6500 1.0336 -0.1781 0.0
-2.8530 -2.6500 5 10 6500 1.0296 0.0026 0.0
-2.6500 -2.5000 5 10 6500 0.9982 0.0034 0.0
-2.5000 -2.3220 5 10 6500 0.9943 0.0642 0.0
-2.3220 -2.1720 5 10 6500 0.9897 0.0234 0.0
-2.1720 -1.9300 5 10 6500 0.9972 0.0579 0.0
-1.9300 -1.6530 5 10 6500 0.9930 0.0052 0.0
-1.6530 -1.4790 5 10 6500 0.9913 0.0148 0.0
-1.4790 -1.3050 5 10 6500 0.9940 0.0235 0.0
-1.3050 -1.0440 5 10 6500 0.9941 0.0090 0.0
-1.0440 -0.7830 5 10 6500 0.9949 -0.0043 0.0
-0.7830 -0.5220 5 10 6500 0.9958 -0.0132 0.0
-0.5220 -0.2610 5 10 6500 0.9995 0.0019 0.0
-0.2610 -0.0000 5 10 6500 0.9984 0.0089 0.0
0.0000 0.2610 5 10 6500 0.9984 0.0089 0.0
0.2610 0.5220 5 10 6500 0.9995 0.0019 0.0
0.5220 0.7830 5 10 6500 0.9958 -0.0132 0.0
0.7830 1.0440 5 10 6500 0.9949 -0.0043 0.0
1.0440 1.3050 5 10 6500 0.9941 0.0090 0.0
1.3050 1.4790 5 10 6500 0.9940 0.0235 0.0
1.4790 1.6530 5 10 6500 0.9913 0.0148 0.0
1.6530 1.9300 5 10 6500 0.9930 0.0052 0.0
1.9300 2.1720 5 10 6500 0.9972 0.0579 0.0
2.1720 2.3220 5 10 6500 0.9897 0.0234 0.0
2.3220 2.5000 5 10 6500 0.9943 0.0642 0.0
2.5000 2.6500 5 10 6500 0.9982 0.0034 0.0
2.6500 2.8530 5 10 6500 1.0296 0.0026 0.0
2.8530 2.9640 5 10 6500 1.0336 -0.1781 0.0
2.9640 3.1390 5 10 6500 0.9545 -0.3036 0.0
3.1390 3.4890 5 10 6500 0.9542 -0.1589 0.0
3.4890 3.8390 5 10 6500 0.9830 -0.0805 0.0
3.8390 5.1910 5 10 6500 0.9111 -0.4003 0.0
