{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 0.9928 0.5165 0.0
-3.8390 -3.4890 5 10 6500 0.9914 0.0667 0.0
-3.4890 -3.1390 5 10 6500 0.9607 -0.0913 0.0
-3.1390 -2.9640 5 10 6500 0.9673 0.0792 0.0
-2.9640 -2.8530 5 10 6500 1.0228 -0.1354 0.0
-2.8530 -2.6500 5 10 6500 1.0240 0.1333 0.0
-2.6500 -2.5000 5 10 6500 1.0009 0.3093 0.0
-2.5000 -2.3220 5 10 6500 0.9860 -0.0818 0.0
-2.3220 -2.1720 5 10 6500 0.9822 0.1080 0.0
-2.1720 -1.9300 5 10 6500 0.9873 -0.0235 0.0
-1.9300 -1.6530 5 10 6500 0.9866 0.0304 0.0
-1.6530 -1.4790 5 10 6500 0.9852 0.0424 0.0
-1.4790 -1.3050 5 10 6500 0.9944 0.0148 0.0
-1.3050 -1.0440 5 10 6500 0.9953 0.0457 0.0
-1.0440 -0.7830 5 10 6500 0.9962 0.0209 0.0
-0.7830 -0.5220 5 10 6500 0.9961 0.0107 0.0
-0.5220 -0.2610 5 10 6500 0.9995 -0.0270 0.0
-0.2610 -0.0000 5 10 6500 1.0016 -0.0319 0.0
0.0000 0.2610 5 10 6500 1.0016 -0.0319 0.0
0.2610 0.5220 5 10 6500 0.9995 -0.0270 0.0
0.5220 0.7830 5 10 6500 0.9961 0.0107 0.0
0.7830 1.0440 5 10 6500 0.9962 0.0209 0.0
1.0440 1.3050 5 10 6500 0.9953 0.0457 0.0
1.3050 1.4790 5 10 6500 0.9944 0.0148 0.0
1.4790 1.6530 5 10 6500 0.9852 0.0424 0.0
1.6530 1.9300 5 10 6500 0.9866 0.0304 0.0
1.9300 2.1720 5 10 6500 0.9873 -0.0235 0.0
2.1720 2.3220 5 10 6500 0.9822 0.1080 0.0
2.3220 2.5000 5 10 6500 0.9860 -0.0818 0.0
2.5000 2.6500 5 10 6500 1.0009 0.3093 0.0
2.6500 2.8530 5 10 6500 1.0240 0.1333 0.0
2.8530 2.9640 5 10 6500 1.0228 -0.1354 0.0
2.9640 3.1390 5 10 6500 0.9673 0.0792 0.0
3.1390 3.4890 5 10 6500 0.9607 -0.0913 0.0
3.4890 3.8390 5 10 6500 0.9914 0.0667 0.0
3.8390 5.1910 5 10 6500 0.9928 0.5165 0.0
