{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 0.9492 -0.0202 0.0
-3.8390 -3.4890 5 10 6500 0.9716 -0.0791 0.0
-3.4890 -3.1390 5 10 6500 0.9761 0.0765 0.0
-3.1390 -2.9640 5 10 6500 0.9713 -0.0585 0.0
-2.9640 -2.8530 5 10 6500 0.9921 -0.1422 0.0
-2.8530 -2.6500 5 10 6500 0.9750 -0.0176 0.0
-2.6500 -2.5000 5 10 6500 0.9680 0.1229 0.0
-2.5000 -2.3220 5 10 6500 0.9705 0.0720 0.0
-2.3220 -2.1720 5 10 6500 0.9726 0.0300 0.0
-2.1720 -1.9300 5 10 6500 0.9761 0.0230 0.0
-1.9300 -1.6530 5 10 6500 0.9775 0.0374 0.0
-1.6530 -1.4790 5 10 6500 0.9769 -0.0056 0.0
-1.4790 -1.3050 5 10 6500 0.9843 0.0336 0.0
-1.3050 -1.0440 5 10 6500 0.9909 0.0368 0.0
-1.0440 -0.7830 5 10 6500 0.9937 0.0173 0.0
-0.7830 -0.5220 5 10 6500 0.9978 0.0210 0.0
-0.5220 -0.2610 5 10 6500 0.9970 0.0076 0.0
-0.2610 -0.0000 5 10 6500 0.9990 0.0234 0.0
0.0000 0.2610 5 10 6500 0.9990 0.0234 0.0
0.2610 0.5220 5 10 6500 0.9970 0.0076 0.0
0.5220 0.7830 5 10 6500 0.9978 0.0210 0.0
0.7830 1.0440 5 10 6500 0.9937 0.0173 0.0
1.0440 1.3050 5 10 6500 0.9909 0.0368 0.0
1.3050 1.4790 5 10 6500 0.9843 0.0336 0.0
1.4790 1.6530 5 10 6500 0.9769 -0.0056 0.0
1.6530 1.9300 5 10 6500 0.9775 0.0374 0.0
1.9300 2.1720 5 10 6500 0.9761 0.0230 0.0
2.1720 2.3220 5 10 6500 0.9726 0.0300 0.0
2.3220 2.5000 5 10 6500 0.9705 0.0720 0.0
2.5000 2.6500 5 10 6500 0.9680 0.1229 0.0
2.6500 2.8530 5 10 6500 0.9750 -0.0176 0.0
2.8530 2.9640 5 10 6500 0.9921 -0.1422 0.0
2.9640 3.1390 5 10 6500 0.9713 -0.0585 0.0
3.1390 3.4890 5 10 6500 0.9761 0.0765 0.0
3.4890 3.8390 5 10 6500 0.9716 -0.0791 0.0
3.8390 5.1910 5 10 6500 0.9492 -0.0202 0.0
