{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 0.9881 -0.1864 0.0
-3.8390 -3.4890 5 10 6500 1.0019 -0.0243 0.0
-3.4890 -3.1390 5 10 6500 1.0071 -0.0429 0.0
-3.1390 -2.9640 5 10 6500 1.0264 0.0701 0.0
-2.9640 -2.8530 5 10 6500 1.0166 -0.0576 0.0
-2.8530 -2.6500 5 10 6500 1.0006 -0.0323 0.0
-2.6500 -2.5000 5 10 6500 0.9996 -0.0051 0.0
-2.5000 -2.3220 5 10 6500 0.9996 -0.0076 0.0
-2.3220 -2.1720 5 10 6500 1.0010 -0.0160 0.0
-2.1720 -1.9300 5 10 6500 1.0006 -0.0025 0.0
-1.9300 -1.6530 5 10 6500 1.0008 -0.0024 0.0
-1.6530 -1.4790 5 10 6500 1.0010 -0.0019 0.0
-1.4790 -1.3050 5 10 6500 0.9998 0.0009 0.0
-1.3050 -1.0440 5 10 6500 1.0007 -0.0064 0.0
-1.0440 -0.7830 5 10 6500 1.0004 -0.0131 0.0
-0.7830 -0.5220 5 10 6500 0.9994 0.0023 0.0
-0.5220 -0.2610 5 10 6500 1.0008 -0.0108 0.0
-0.2610 -0.0000 5 10 6500 1.0004 -0.0033 0.0
0.0000 0.2610 5 10 6500 1.0004 -0.0033 0.0
0.2610 0.5220 5 10 6500 1.0008 -0.0108 0.0
0.5220 0.7830 5 10 6500 0.9994 0.0023 0.0
0.7830 1.0440 5 10 6500 1.0004 -0.0131 0.0
1.0440 1.3050 5 10 6500 1.0007 -0.0064 0.0
1.3050 1.4790 5 10 6500 0.9998 0.0009 0.0
1.4790 1.6530 5 10 6500 1.0010 -0.0019 0.0
1.6530 1.9300 5 10 6500 1.0008 -0.0024 0.0
1.9300 2.1720 5 10 6500 1.0006 -0.0025 0.0
2.1720 2.3220 5 10 6500 1.0010 -0.0160 0.0
2.3220 2.5000 5 10 6500 0.9996 -0.0076 0.0
2.5000 2.6500 5 10 6500 0.9996 -0.0051 0.0
2.6500 2.8530 5 10 6500 1.0006 -0.0323 0.0
2.8530 2.9640 5 10 6500 1.0166 -0.0576 0.0
2.9640 3.1390 5 10 6500 1.0264 0.0701 0.0
3.1390 3.4890 5 10 6500 1.0071 -0.0429 0.0
3.4890 3.8390 5 10 6500 1.0019 -0.0243 0.0
3.8390 5.1910 5 10 6500 0.9881 -0.1864 0.0
