{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 0.9663 -0.1767 0.0
-3.8390 -3.4890 5 10 6500 1.0022 0.0699 0.0
-3.4890 -3.1390 5 10 6500 1.0078 0.0098 0.0
-3.1390 -2.9640 5 10 6500 1.0298 0.2228 0.0
-2.9640 -2.8530 5 10 6500 1.0188 0.0988 0.0
-2.8530 -2.6500 5 10 6500 0.9996 0.0117 0.0
-2.6500 -2.5000 5 10 6500 0.9971 -0.0060 0.0
-2.5000 -2.3220 5 10 6500 1.0052 0.0217 0.0
-2.3220 -2.1720 5 10 6500 1.0057 0.0327 0.0
-2.1720 -1.9300 5 10 6500 1.0066 0.0171 0.0
-1.9300 -1.6530 5 10 6500 1.0043 0.0032 0.0
-1.6530 -1.4790 5 10 6500 1.0030 0.0110 0.0
-1.4790 -1.3050 5 10 6500 1.0010 0.0192 0.0
-1.3050 -1.0440 5 10 6500 1.0004 0.0006 0.0
-1.0440 -0.7830 5 10 6500 1.0005 -0.0165 0.0
-0.7830 -0.5220 5 10 6500 0.9999 -0.0033 0.0
-0.5220 -0.2610 5 10 6500 1.0006 -0.0172 0.0
-0.2610 -0.0000 5 10 6500 0.9997 -0.0073 0.0
0.0000 0.2610 5 10 6500 0.9997 -0.0073 0.0
0.2610 0.5220 5 10 6500 1.0006 -0.0172 0.0
0.5220 0.7830 5 10 6500 0.9999 -0.0033 0.0
0.7830 1.0440 5 10 6500 1.0005 -0.0165 0.0
1.0440 1.3050 5 10 6500 1.0004 0.0006 0.0
1.3050 1.4790 5 10 6500 1.0010 0.0192 0.0
1.4790 1.6530 5 10 6500 1.0030 0.0110 0.0
1.6530 1.9300 5 10 6500 1.0043 0.0032 0.0
1.9300 2.1720 5 10 6500 1.0066 0.0171 0.0
2.1720 2.3220 5 10 6500 1.0057 0.0327 0.0
2.3220 2.5000 5 10 6500 1.0052 0.0217 0.0
2.5000 2.6500 5 10 6500 0.9971 -0.0060 0.0
2.6500 2.8530 5 10 6500 0.9996 0.0117 0.0
2.8530 2.9640 5 10 6500 1.0188 0.0988 0.0
2.9640 3.1390 5 10 6500 1.0298 0.2228 0.0
3.1390 3.4890 5 10 6500 1.0078 0.0098 0.0
3.4890 3.8390 5 10 6500 1.0022 0.0699 0.0
3.8390 5.1910 5 10 6500 0.9663 -0.1767 0.0
