{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 0.9813 -0.0341 0.0
-3.8390 -3.4890 5 10 6500 1.0046 0.0260 0.0
-3.4890 -3.1390 5 10 6500 1.0192 -0.0357 0.0
-3.1390 -2.9640 5 10 6500 1.0201 0.1057 0.0
-2.9640 -2.8530 5 10 6500 0.9951 0.0455 0.0
-2.8530 -2.6500 5 10 6500 0.9969 -0.0251 0.0
-2.6500 -2.5000 5 10 6500 1.0086 -0.0101 0.0
-2.5000 -2.3220 5 10 6500 1.0103 0.0008 0.0
-2.3220 -2.1720 5 10 6500 1.0038 -0.0035 0.0
-2.1720 -1.9300 5 10 6500 1.0098 -0.0057 0.0
-1.9300 -1.6530 5 10 6500 1.0033 0.0010 0.0
-1.6530 -1.4790 5 10 6500 1.0015 -0.0026 0.0
-1.4790 -1.3050 5 10 6500 1.0092 0.0016 0.0
-1.3050 -1.0440 5 10 6500 1.0046 -0.0119 0.0
-1.0440 -0.7830 5 10 6500 1.0009 -0.0166 0.0
-0.7830 -0.5220 5 10 6500 1.0028 -0.0020 0.0
-0.5220 -0.2610 5 10 6500 1.0035 -0.0149 0.0
-0.2610 -0.0000 5 10 6500 1.0057 -0.0044 0.0
0.0000 0.2610 5 10 6500 1.0057 -0.0044 0.0
0.2610 0.5220 5 10 6500 1.0035 -0.0149 0.0
0.5220 0.7830 5 10 6500 1.0028 -0.0020 0.0
0.7830 1.0440 5 10 6500 1.0009 -0.0166 0.0
1.0440 1.3050 5 10 6500 1.0046 -0.0119 0.0
1.3050 1.4790 5 10 6500 1.0092 0.0016 0.0
1.4790 1.6530 5 10 6500 1.0015 -0.0026 0.0
1.6530 1.9300 5 10 6500 1.0033 0.0010 0.0
1.9300 2.1720 5 10 6500 1.0098 -0.0057 0.0
2.1720 2.3220 5 10 6500 1.0038 -0.0035 0.0
2.3220 2.5000 5 10 6500 1.0103 0.0008 0.0
2.5000 2.6500 5 10 6500 1.0086 -0.0101 0.0
2.6500 2.8530 5 10 6500 0.9969 -0.0251 0.0
2.8530 2.9640 5 10 6500 0.9951 0.0455 0.0
2.9640 3.1390 5 10 6500 1.0201 0.1057 0.0
3.1390 3.4890 5 10 6500 1.0192 -0.0357 0.0
3.4890 3.8390 5 10 6500 1.0046 0.0260 0.0
3.8390 5.1910 5 10 6500 0.9813 -0.0341 0.0
