{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-3.8390 -3.4890 5 10 6500 1.0039 0.0067 0.0
-3.4890 -3.1390 5 10 6500 1.0090 -0.0890 0.0
-3.1390 -2.9640 5 10 6500 1.0250 0.0639 0.0
-2.9640 -2.8530 5 10 6500 1.0136 0.0639 0.0
-2.8530 -2.6500 5 10 6500 1.0011 -0.0320 0.0
-2.6500 -2.5000 5 10 6500 1.0026 -0.0359 0.0
-2.5000 -2.3220 5 10 6500 1.0019 -0.0295 0.0
-2.3220 -2.1720 5 10 6500 1.0016 -0.0216 0.0
-2.1720 -1.9300 5 10 6500 1.0032 -0.0286 0.0
-1.9300 -1.6530 5 10 6500 1.0011 -0.0038 0.0
-1.6530 -1.4790 5 10 6500 1.0016 -0.0082 0.0
-1.4790 -1.3050 5 10 6500 1.0025 -0.0225 0.0
-1.3050 -1.0440 5 10 6500 1.0024 -0.0221 0.0
-1.0440 -0.7830 5 10 6500 1.0007 -0.0164 0.0
-0.7830 -0.5220 5 10 6500 1.0006 -0.0074 0.0
-0.5220 -0.2610 5 10 6500 1.0017 -0.0183 0.0
-0.2610 -0.0000 5 10 6500 1.0018 -0.0145 0.0
0.0000 0.2610 5 10 6500 1.0018 -0.0145 0.0
0.2610 0.5220 5 10 6500 1.0017 -0.0183 0.0
0.5220 0.7830 5 10 6500 1.0006 -0.0074 0.0
0.7830 1.0440 5 10 6500 1.0007 -0.0164 0.0
1.0440 1.3050 5 10 6500 1.0024 -0.0221 0.0
1.3050 1.4790 5 10 6500 1.0025 -0.0225 0.0
1.4790 1.6530 5 10 6500 1.0016 -0.0082 0.0
1.6530 1.9300 5 10 6500 1.0011 -0.0038 0.0
1.9300 2.1720 5 10 6500 1.0032 -0.0286 0.0
2.1720 2.3220 5 10 6500 1.0016 -0.0216 0.0
2.3220 2.5000 5 10 6500 1.0019 -0.0295 0.0
2.5000 2.6500 5 10 6500 1.0026 -0.0359 0.0
2.6500 2.8530 5 10 6500 1.0011 -0.0320 0.0
2.8530 2.9640 5 10 6500 1.0136 0.0639 0.0
2.9640 3.1390 5 10 6500 1.0250 0.0639 0.0
3.1390 3.4890 5 10 6500 1.0090 -0.0890 0.0
3.4890 3.8390 5 10 6500 1.0039 0.0067 0.0
