{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-3.8390 -3.4890 5 10 6500 1.0011 0.0685 0.0
-3.4890 -3.1390 5 10 6500 1.0119 0.0100 0.0
-3.1390 -2.9640 5 10 6500 1.0209 0.2227 0.0
-2.9640 -2.8530 5 10 6500 1.0016 0.1229 0.0
-2.8530 -2.6500 5 10 6500 0.9903 0.0139 0.0
-2.6500 -2.5000 5 10 6500 0.9998 -0.0092 0.0
-2.5000 -2.3220 5 10 6500 1.0079 0.0211 0.0
-2.3220 -2.1720 5 10 6500 1.0017 0.0337 0.0
-2.1720 -1.9300 5 10 6500 1.0045 0.0164 0.0
-1.9300 -1.6530 5 10 6500 1.0009 0.0064 0.0
-1.6530 -1.4790 5 10 6500 0.9977 0.0117 0.0
-1.4790 -1.3050 5 10 6500 1.0036 0.0172 0.0
-1.3050 -1.0440 5 10 6500 1.0040 -0.0020 0.0
-1.0440 -0.7830 5 10 6500 1.0010 -0.0169 0.0
-0.7830 -0.5220 5 10 6500 1.0018 -0.0050 0.0
-0.5220 -0.2610 5 10 6500 1.0036 -0.0192 0.0
-0.2610 -0.0000 5 10 6500 1.0048 -0.0085 0.0
0.0000 0.2610 5 10 6500 1.0048 -0.0085 0.0
0.2610 0.5220 5 10 6500 1.0036 -0.0192 0.0
0.5220 0.7830 5 10 6500 1.0018 -0.0050 0.0
0.7830 1.0440 5 10 6500 1.0010 -0.0169 0.0
1.0440 1.3050 5 10 6500 1.0040 -0.0020 0.0
1.3050 1.4790 5 10 6500 1.0036 0.0172 0.0
1.4790 1.6530 5 10 6500 0.9977 0.0117 0.0
1.6530 1.9300 5 10 6500 1.0009 0.0064 0.0
1.9300 2.1720 5 10 6500 1.0045 0.0164 0.0
2.1720 2.3220 5 10 6500 1.0017 0.0337 0.0
2.3220 2.5000 5 10 6500 1.0079 0.0211 0.0
2.5000 2.6500 5 10 6500 0.9998 -0.0092 0.0
2.6500 2.8530 5 10 6500 0.9903 0.0139 0.0
2.8530 2.9640 5 10 6500 1.0016 0.1229 0.0
2.9640 3.1390 5 10 6500 1.0209 0.2227 0.0
3.1390 3.4890 5 10 6500 1.0119 0.0100 0.0
3.4890 3.8390 5 10 6500 1.0011 0.0685 0.0
