{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 1.0021 0.0661 0.0
-3.8390 -3.4890 5 10 6500 1.0049 0.0163 0.0
-3.4890 -3.1390 5 10 6500 1.0088 -0.0947 0.0
-3.1390 -2.9640 5 10 6500 1.0248 0.0569 0.0
-2.9640 -2.8530 5 10 6500 1.0135 0.0627 0.0
-2.8530 -2.6500 5 10 6500 1.0009 -0.0384 0.0
-2.6500 -2.5000 5 10 6500 1.0026 -0.0406 0.0
-2.5000 -2.3220 5 10 6500 1.0018 -0.0307 0.0
-2.3220 -2.1720 5 10 6500 1.0017 -0.0239 0.0
-2.1720 -1.9300 5 10 6500 1.0033 -0.0304 0.0
-1.9300 -1.6530 5 10 6500 1.0012 -0.0054 0.0
-1.6530 -1.4790 5 10 6500 1.0019 -0.0108 0.0
-1.4790 -1.3050 5 10 6500 1.0025 -0.0227 0.0
-1.3050 -1.0440 5 10 6500 1.0025 -0.0235 0.0
-1.0440 -0.7830 5 10 6500 1.0008 -0.0175 0.0
-0.7830 -0.5220 5 10 6500 1.0008 -0.0098 0.0
-0.5220 -0.2610 5 10 6500 1.0017 -0.0190 0.0
-0.2610 -0.0000 5 10 6500 1.0019 -0.0159 0.0
0.0000 0.2610 5 10 6500 1.0019 -0.0159 0.0
0.2610 0.5220 5 10 6500 1.0017 -0.0190 0.0
0.5220 0.7830 5 10 6500 1.0008 -0.0098 0.0
0.7830 1.0440 5 10 6500 1.0008 -0.0175 0.0
1.0440 1.3050 5 10 6500 1.0025 -0.0235 0.0
1.3050 1.4790 5 10 6500 1.0025 -0.0227 0.0
1.4790 1.6530 5 10 6500 1.0019 -0.0108 0.0
1.6530 1.9300 5 10 6500 1.0012 -0.0054 0.0
1.9300 2.1720 5 10 6500 1.0033 -0.0304 0.0
2.1720 2.3220 5 10 6500 1.0017 -0.0239 0.0
2.3220 2.5000 5 10 6500 1.0018 -0.0307 0.0
2.5000 2.6500 5 10 6500 1.0026 -0.0406 0.0
2.6500 2.8530 5 10 6500 1.0009 -0.0384 0.0
2.8530 2.9640 5 10 6500 1.0135 0.0627 0.0
2.9640 3.1390 5 10 6500 1.0248 0.0569 0.0
3.1390 3.4890 5 10 6500 1.0088 -0.0947 0.0
3.4890 3.8390 5 10 6500 1.0049 0.0163 0.0
3.8390 5.1910 5 10 6500 1.0021 0.0661 0.0
