{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-3.8390 -3.4890 5 10 6500 1.0105 0.0684 0.0
-3.4890 -3.1390 5 10 6500 1.0236 -0.0339 0.0
-3.1390 -2.9640 5 10 6500 1.0001 -0.1073 0.0
-2.9640 -2.8530 5 10 6500 0.9808 0.0390 0.0
-2.8530 -2.6500 5 10 6500 0.9911 -0.0910 0.0
-2.6500 -2.5000 5 10 6500 1.0113 -0.0054 0.0
-2.5000 -2.3220 5 10 6500 1.0145 0.0387 0.0
-2.3220 -2.1720 5 10 6500 1.0036 -0.0098 0.0
-2.1720 -1.9300 5 10 6500 1.0089 -0.0319 0.0
-1.9300 -1.6530 5 10 6500 1.0054 0.0324 0.0
-1.6530 -1.4790 5 10 6500 0.9996 -0.0338 0.0
-1.4790 -1.3050 5 10 6500 1.0088 -0.0207 0.0
-1.3050 -1.0440 5 10 6500 1.0027 -0.0476 0.0
-1.0440 -0.7830 5 10 6500 1.0002 -0.0276 0.0
-0.7830 -0.5220 5 10 6500 1.0026 -0.0096 0.0
-0.5220 -0.2610 5 10 6500 1.0032 -0.0235 0.0
-0.2610 -0.0000 5 10 6500 1.0064 0.0002 0.0
0.0000 0.2610 5 10 6500 1.0064 0.0002 0.0
0.2610 0.5220 5 10 6500 1.0032 -0.0235 0.0
0.5220 0.7830 5 10 6500 1.0026 -0.0096 0.0
0.7830 1.0440 5 10 6500 1.0002 -0.0276 0.0
1.0440 1.3050 5 10 6500 1.0027 -0.0476 0.0
1.3050 1.4790 5 10 6500 1.0088 -0.0207 0.0
1.4790 1.6530 5 10 6500 0.9996 -0.0338 0.0
1.6530 1.9300 5 10 6500 1.0054 0.0324 0.0
1.9300 2.1720 5 10 6500 1.0089 -0.0319 0.0
2.1720 2.3220 5 10 6500 1.0036 -0.0098 0.0
2.3220 2.5000 5 10 6500 1.0145 0.0387 0.0
2.5000 2.6500 5 10 6500 1.0113 -0.0054 0.0
2.6500 2.8530 5 10 6500 0.9911 -0.0910 0.0
2.8530 2.9640 5 10 6500 0.9808 0.0390 0.0
2.9640 3.1390 5 10 6500 1.0001 -0.1073 0.0
3.1390 3.4890 5 10 6500 1.0236 -0.0339 0.0
3.4890 3.8390 5 10 6500 1.0105 0.0684 0.0
