{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 1.0685 1.5942 0.0
-3.8390 -3.4890 5 10 6500 1.0393 0.4835 0.0
-3.4890 -3.1390 5 10 6500 1.0155 -0.4534 0.0
-3.1390 -2.9640 5 10 6500 1.0178 -0.4471 0.0
-2.9640 -2.8530 5 10 6500 1.0425 -0.2942 0.0
-2.8530 -2.6500 5 10 6500 1.0233 -0.2531 0.0
-2.6500 -2.5000 5 10 6500 1.0139 -0.2034 0.0
-2.5000 -2.3220 5 10 6500 0.9990 -0.0862 0.0
-2.3220 -2.1720 5 10 6500 0.9971 -0.0457 0.0
-2.1720 -1.9300 5 10 6500 0.9913 -0.0728 0.0
-1.9300 -1.6530 5 10 6500 0.9930 -0.0032 0.0
-1.6530 -1.4790 5 10 6500 0.9957 -0.0696 0.0
-1.4790 -1.3050 5 10 6500 0.9956 0.0019 0.0
-1.3050 -1.0440 5 10 6500 0.9954 -0.0433 0.0
-1.0440 -0.7830 5 10 6500 0.9938 -0.0336 0.0
-0.7830 -0.5220 5 10 6500 0.9979 -0.0315 0.0
-0.5220 -0.2610 5 10 6500 0.9960 -0.0040 0.0
-0.2610 -0.0000 5 10 6500 0.9963 0.0021 0.0
0.0000 0.2610 5 10 6500 0.9963 0.0021 0.0
0.2610 0.5220 5 10 6500 0.9960 -0.0040 0.0
0.5220 0.7830 5 10 6500 0.9979 -0.0315 0.0
0.7830 1.0440 5 10 6500 0.9938 -0.0336 0.0
1.0440 1.3050 5 10 6500 0.9954 -0.0433 0.0
1.3050 1.4790 5 10 6500 0.9956 0.0019 0.0
1.4790 1.6530 5 10 6500 0.9957 -0.0696 0.0
1.6530 1.9300 5 10 6500 0.9930 -0.0032 0.0
1.9300 2.1720 5 10 6500 0.9913 -0.0728 0.0
2.1720 2.3220 5 10 6500 0.9971 -0.0457 0.0
2.3220 2.5000 5 10 6500 0.9990 -0.0862 0.0
2.5000 2.6500 5 10 6500 1.0139 -0.2034 0.0
2.6500 2.8530 5 10 6500 1.0233 -0.2531 0.0
2.8530 2.9640 5 10 6500 1.0425 -0.2942 0.0
2.9640 3.1390 5 10 6500 1.0178 -0.4471 0.0
3.1390 3.4890 5 10 6500 1.0155 -0.4534 0.0
3.4890 3.8390 5 10 6500 1.0393 0.4835 0.0
3.8390 5.1910 5 10 6500 1.0685 1.5942 0.0
