{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 1.1465 -0.1313 0.0
-3.8390 -3.4890 5 10 6500 1.0553 -1.0144 0.0
-3.4890 -3.1390 5 10 6500 1.0179 -0.4154 0.0
-3.1390 -2.9640 5 10 6500 1.0193 -0.4502 0.0
-2.9640 -2.8530 5 10 6500 1.0472 -0.8313 0.0
-2.8530 -2.6500 5 10 6500 1.0064 -0.7583 0.0
-2.6500 -2.5000 5 10 6500 1.0073 -0.4012 0.0
-2.5000 -2.3220 5 10 6500 0.9984 -0.0535 0.0
-2.3220 -2.1720 5 10 6500 0.9927 -0.1165 0.0
-2.1720 -1.9300 5 10 6500 0.9909 -0.0975 0.0
-1.9300 -1.6530 5 10 6500 0.9989 -0.0398 0.0
-1.6530 -1.4790 5 10 6500 0.9997 -0.0410 0.0
-1.4790 -1.3050 5 10 6500 1.0029 -0.0824 0.0
-1.3050 -1.0440 5 10 6500 1.0026 -0.1216 0.0
-1.0440 -0.7830 5 10 6500 0.9986 -0.0694 0.0
-0.7830 -0.5220 5 10 6500 1.0016 -0.0289 0.0
-0.5220 -0.2610 5 10 6500 1.0033 -0.0579 0.0
-0.2610 -0.0000 5 10 6500 1.0035 -0.0723 0.0
0.0000 0.2610 5 10 6500 1.0035 -0.0723 0.0
0.2610 0.5220 5 10 6500 1.0033 -0.0579 0.0
0.5220 0.7830 5 10 6500 1.0016 -0.0289 0.0
0.7830 1.0440 5 10 6500 0.9986 -0.0694 0.0
1.0440 1.3050 5 10 6500 1.0026 -0.1216 0.0
1.3050 1.4790 5 10 6500 1.0029 -0.0824 0.0
1.4790 1.6530 5 10 6500 0.9997 -0.0410 0.0
1.6530 1.9300 5 10 6500 0.9989 -0.0398 0.0
1.9300 2.1720 5 10 6500 0.9909 -0.0975 0.0
2.1720 2.3220 5 10 6500 0.9927 -0.1165 0.0
2.3220 2.5000 5 10 6500 0.9984 -0.0535 0.0
2.5000 2.6500 5 10 6500 1.0073 -0.4012 0.0
2.6500 2.8530 5 10 6500 1.0064 -0.7583 0.0
2.8530 2.9640 5 10 6500 1.0472 -0.8313 0.0
2.9640 3.1390 5 10 6500 1.0193 -0.4502 0.0
3.1390 3.4890 5 10 6500 1.0179 -0.4154 0.0
3.4890 3.8390 5 10 6500 1.0553 -1.0144 0.0
3.8390 5.1910 5 10 6500 1.1465 -0.1313 0.0
