{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 0.9803 0.0082 0.0
-3.8390 -3.4890 5 10 6500 1.0207 0.1202 0.0
-3.4890 -3.1390 5 10 6500 1.0191 -0.0744 0.0
-3.1390 -2.9640 5 10 6500 1.0052 -0.1461 0.0
-2.9640 -2.8530 5 10 6500 1.0012 0.0506 0.0
-2.8530 -2.6500 5 10 6500 1.0019 -0.1326 0.0
-2.6500 -2.5000 5 10 6500 1.0087 -0.0402 0.0
-2.5000 -2.3220 5 10 6500 1.0035 0.0082 0.0
-2.3220 -2.1720 5 10 6500 0.9975 -0.0350 0.0
-2.1720 -1.9300 5 10 6500 0.9942 -0.0512 0.0
-1.9300 -1.6530 5 10 6500 0.9980 0.0130 0.0
-1.6530 -1.4790 5 10 6500 0.9987 -0.0458 0.0
-1.4790 -1.3050 5 10 6500 1.0030 -0.0269 0.0
-1.3050 -1.0440 5 10 6500 1.0006 -0.0599 0.0
-1.0440 -0.7830 5 10 6500 0.9972 -0.0360 0.0
-0.7830 -0.5220 5 10 6500 1.0014 -0.0249 0.0
-0.5220 -0.2610 5 10 6500 1.0023 -0.0286 0.0
-0.2610 -0.0000 5 10 6500 1.0021 -0.0170 0.0
0.0000 0.2610 5 10 6500 1.0021 -0.0170 0.0
0.2610 0.5220 5 10 6500 1.0023 -0.0286 0.0
0.5220 0.7830 5 10 6500 1.0014 -0.0249 0.0
0.7830 1.0440 5 10 6500 0.9972 -0.0360 0.0
1.0440 1.3050 5 10 6500 1.0006 -0.0599 0.0
1.3050 1.4790 5 10 6500 1.0030 -0.0269 0.0
1.4790 1.6530 5 10 6500 0.9987 -0.0458 0.0
1.6530 1.9300 5 10 6500 0.9980 0.0130 0.0
1.9300 2.1720 5 10 6500 0.9942 -0.0512 0.0
2.1720 2.3220 5 10 6500 0.9975 -0.0350 0.0
2.3220 2.5000 5 10 6500 1.0035 0.0082 0.0
2.5000 2.6500 5 10 6500 1.0087 -0.0402 0.0
2.6500 2.8530 5 10 6500 1.0019 -0.1326 0.0
2.8530 2.9640 5 10 6500 1.0012 0.0506 0.0
2.9640 3.1390 5 10 6500 1.0052 -0.1461 0.0
3.1390 3.4890 5 10 6500 1.0191 -0.0744 0.0
3.4890 3.8390 5 10 6500 1.0207 0.1202 0.0
3.8390 5.1910 5 10 6500 0.9803 0.0082 0.0
