{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 1.0776 2.4145 0.0
-3.8390 -3.4890 5 10 6500 0.9862 -0.2533 0.0
-3.4890 -3.1390 5 10 6500 1.0097 -0.1725 0.0
-3.1390 -2.9640 5 10 6500 0.9905 -0.1861 0.0
-2.9640 -2.8530 5 10 6500 0.9780 0.3960 0.0
-2.8530 -2.6500 5 10 6500 0.9793 -0.3224 0.0
-2.6500 -2.5000 5 10 6500 1.0012 -0.0996 0.0
-2.5000 -2.3220 5 10 6500 1.0021 0.0248 0.0
-2.3220 -2.1720 5 10 6500 0.9937 -0.0599 0.0
-2.1720 -1.9300 5 10 6500 0.9944 -0.1125 0.0
-1.9300 -1.6530 5 10 6500 0.9988 -0.0001 0.0
-1.6530 -1.4790 5 10 6500 0.9982 -0.0222 0.0
-1.4790 -1.3050 5 10 6500 1.0031 -0.0668 0.0
-1.3050 -1.0440 5 10 6500 1.0026 -0.1172 0.0
-1.0440 -0.7830 5 10 6500 0.9986 -0.0577 0.0
-0.7830 -0.5220 5 10 6500 1.0017 -0.0342 0.0
-0.5220 -0.2610 5 10 6500 1.0032 -0.0434 0.0
-0.2610 -0.0000 5 10 6500 1.0036 -0.0662 0.0
0.0000 0.2610 5 10 6500 1.0036 -0.0662 0.0
0.2610 0.5220 5 10 6500 1.0032 -0.0434 0.0
0.5220 0.7830 5 10 6500 1.0017 -0.0342 0.0
0.7830 1.0440 5 10 6500 0.9986 -0.0577 0.0
1.0440 1.3050 5 10 6500 1.0026 -0.1172 0.0
1.3050 1.4790 5 10 6500 1.0031 -0.0668 0.0
1.4790 1.6530 5 10 6500 0.9982 -0.0222 0.0
1.6530 1.9300 5 10 6500 0.9988 -0.0001 0.0
1.9300 2.1720 5 10 6500 0.9944 -0.1125 0.0
2.1720 2.3220 5 10 6500 0.9937 -0.0599 0.0
2.3220 2.5000 5 10 6500 1.0021 0.0248 0.0
2.5000 2.6500 5 10 6500 1.0012 -0.0996 0.0
2.6500 2.8530 5 10 6500 0.9793 -0.3224 0.0
2.8530 2.9640 5 10 6500 0.9780 0.3960 0.0
2.9640 3.1390 5 10 6500 0.9905 -0.1861 0.0
3.1390 3.4890 5 10 6500 1.0097 -0.1725 0.0
3.4890 3.8390 5 10 6500 0.9862 -0.2533 0.0
3.8390 5.1910 5 10 6500 1.0776 2.4145 0.0
