{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 0.9642 -0.0815 0.0
-3.8390 -3.4890 5 10 6500 1.0077 0.0550 0.0
-3.4890 -3.1390 5 10 6500 1.0233 -0.0302 0.0
-3.1390 -2.9640 5 10 6500 0.9844 -0.2134 0.0
-2.9640 -2.8530 5 10 6500 0.9332 -0.2998 0.0
-2.8530 -2.6500 5 10 6500 0.9781 -0.1785 0.0
-2.6500 -2.5000 5 10 6500 1.0129 0.0235 0.0
-2.5000 -2.3220 5 10 6500 1.0191 0.0877 0.0
-2.3220 -2.1720 5 10 6500 1.0048 -0.0023 0.0
-2.1720 -1.9300 5 10 6500 1.0116 -0.0153 0.0
-1.9300 -1.6530 5 10 6500 1.0063 0.0341 0.0
-1.6530 -1.4790 5 10 6500 1.0000 -0.0299 0.0
-1.4790 -1.3050 5 10 6500 1.0096 -0.0222 0.0
-1.3050 -1.0440 5 10 6500 1.0019 -0.0620 0.0
-1.0440 -0.7830 5 10 6500 0.9999 -0.0333 0.0
-0.7830 -0.5220 5 10 6500 1.0021 -0.0184 0.0
-0.5220 -0.2610 5 10 6500 1.0024 -0.0381 0.0
-0.2610 -0.0000 5 10 6500 1.0054 -0.0186 0.0
0.0000 0.2610 5 10 6500 1.0054 -0.0186 0.0
0.2610 0.5220 5 10 6500 1.0024 -0.0381 0.0
0.5220 0.7830 5 10 6500 1.0021 -0.0184 0.0
0.7830 1.0440 5 10 6500 0.9999 -0.0333 0.0
1.0440 1.3050 5 10 6500 1.0019 -0.0620 0.0
1.3050 1.4790 5 10 6500 1.0096 -0.0222 0.0
1.4790 1.6530 5 10 6500 1.0000 -0.0299 0.0
1.6530 1.9300 5 10 6500 1.0063 0.0341 0.0
1.9300 2.1720 5 10 6500 1.0116 -0.0153 0.0
2.1720 2.3220 5 10 6500 1.0048 -0.0023 0.0
2.3220 2.5000 5 10 6500 1.0191 0.0877 0.0
2.5000 2.6500 5 10 6500 1.0129 0.0235 0.0
2.6500 2.8530 5 10 6500 0.9781 -0.1785 0.0
2.8530 2.9640 5 10 6500 0.9332 -0.2998 0.0
2.9640 3.1390 5 10 6500 0.9844 -0.2134 0.0
3.1390 3.4890 5 10 6500 1.0233 -0.0302 0.0
3.4890 3.8390 5 10 6500 1.0077 0.0550 0.0
3.8390 5.1910 5 10 6500 0.9642 -0.0815 0.0
