{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 1.0294 1.9305 0.0
-3.8390 -3.4890 5 10 6500 0.9513 -0.5360 0.0
-3.4890 -3.1390 5 10 6500 1.0033 -0.1231 0.0
-3.1390 -2.9640 5 10 6500 0.9574 -0.4048 0.0
-2.9640 -2.8530 5 10 6500 0.8701 -0.8876 0.0
-2.8530 -2.6500 5 10 6500 0.9423 -0.4530 0.0
-2.6500 -2.5000 5 10 6500 1.0032 0.1902 0.0
-2.5000 -2.3220 5 10 6500 1.0191 0.3157 0.0
-2.3220 -2.1720 5 10 6500 1.0022 0.1112 0.0
-2.1720 -1.9300 5 10 6500 1.0084 0.0092 0.0
-1.9300 -1.6530 5 10 6500 1.0054 0.1454 0.0
-1.6530 -1.4790 5 10 6500 0.9926 -0.0426 0.0
-1.4790 -1.3050 5 10 6500 1.0068 0.0046 0.0
-1.3050 -1.0440 5 10 6500 1.0032 -0.0994 0.0
-1.0440 -0.7830 5 10 6500 1.0018 0.0036 0.0
-0.7830 -0.5220 5 10 6500 1.0003 -0.0614 0.0
-0.5220 -0.2610 5 10 6500 1.0055 0.0226 0.0
-0.2610 -0.0000 5 10 6500 1.0058 -0.0279 0.0
0.0000 0.2610 5 10 6500 1.0058 -0.0279 0.0
0.2610 0.5220 5 10 6500 1.0055 0.0226 0.0
0.5220 0.7830 5 10 6500 1.0003 -0.0614 0.0
0.7830 1.0440 5 10 6500 1.0018 0.0036 0.0
1.0440 1.3050 5 10 6500 1.0032 -0.0994 0.0
1.3050 1.4790 5 10 6500 1.0068 0.0046 0.0
1.4790 1.6530 5 10 6500 0.9926 -0.0426 0.0
1.6530 1.9300 5 10 6500 1.0054 0.1454 0.0
1.9300 2.1720 5 10 6500 1.0084 0.0092 0.0
2.1720 2.3220 5 10 6500 1.0022 0.1112 0.0
2.3220 2.5000 5 10 6500 1.0191 0.3157 0.0
2.5000 2.6500 5 10 6500 1.0032 0.1902 0.0
2.6500 2.8530 5 10 6500 0.9423 -0.4530 0.0
2.8530 2.9640 5 10 6500 0.8701 -0.8876 0.0
2.9640 3.1390 5 10 6500 0.9574 -0.4048 0.0
3.1390 3.4890 5 10 6500 1.0033 -0.1231 0.0
3.4890 3.8390 5 10 6500 0.9513 -0.5360 0.0
3.8390 5.1910 5 10 6500 1.0294 1.9305 0.0
