{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 0.9212 0.3937 0.0
-3.8390 -3.4890 5 10 6500 0.9639 0.3634 0.0
-3.4890 -3.1390 5 10 6500 1.0038 0.1748 0.0
-3.1390 -2.9640 5 10 6500 1.0007 0.0935 0.0
-2.9640 -2.8530 5 10 6500 0.9064 -0.3569 0.0
-2.8530 -2.6500 5 10 6500 0.9602 -0.1489 0.0
-2.6500 -2.5000 5 10 6500 0.9667 0.0801 0.0
-2.5000 -2.3220 5 10 6500 0.9553 0.1196 0.0
-2.3220 -2.1720 5 10 6500 0.9500 0.1274 0.0
-2.1720 -1.9300 5 10 6500 0.9573 0.1117 0.0
-1.9300 -1.6530 5 10 6500 0.9595 0.0996 0.0
-1.6530 -1.4790 5 10 6500 0.9593 0.0653 0.0
-1.4790 -1.3050 5 10 6500 0.9723 0.0777 0.0
-1.3050 -1.0440 5 10 6500 0.9738 0.0819 0.0
-1.0440 -0.7830 5 10 6500 0.9797 0.0884 0.0
-0.7830 -0.5220 5 10 6500 0.9802 0.0725 0.0
-0.5220 -0.2610 5 10 6500 0.9779 0.0397 0.0
-0.2610 -0.0000 5 10 6500 0.9769 0.0435 0.0
0.0000 0.2610 5 10 6500 0.9769 0.0435 0.0
0.2610 0.5220 5 10 6500 0.9779 0.0397 0.0
0.5220 0.7830 5 10 6500 0.9802 0.0725 0.0
0.7830 1.0440 5 10 6500 0.9797 0.0884 0.0
1.0440 1.3050 5 10 6500 0.9738 0.0819 0.0
1.3050 1.4790 5 10 6500 0.9723 0.0777 0.0
1.4790 1.6530 5 10 6500 0.9593 0.0653 0.0
1.6530 1.9300 5 10 6500 0.9595 0.0996 0.0
1.9300 2.1720 5 10 6500 0.9573 0.1117 0.0
2.1720 2.3220 5 10 6500 0.9500 0.1274 0.0
2.3220 2.5000 5 10 6500 0.9553 0.1196 0.0
2.5000 2.6500 5 10 6500 0.9667 0.0801 0.0
2.6500 2.8530 5 10 6500 0.9602 -0.1489 0.0
2.8530 2.9640 5 10 6500 0.9064 -0.3569 0.0
2.9640 3.1390 5 10 6500 1.0007 0.0935 0.0
3.1390 3.4890 5 10 6500 1.0038 0.1748 0.0
3.4890 3.8390 5 10 6500 0.9639 0.3634 0.0
3.8390 5.1910 5 10 6500 0.9212 0.3937 0.0
