{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 1.0613 0.6580 0.0
-3.8390 -3.4890 5 10 6500 1.0100 0.0222 0.0
-3.4890 -3.1390 5 10 6500 1.0047 -0.0082 0.0
-3.1390 -2.9640 5 10 6500 0.9940 -0.0734 0.0
-2.9640 -2.8530 5 10 6500 1.0096 -0.1256 0.0
-2.8530 -2.6500 5 10 6500 1.0157 -0.0163 0.0
-2.6500 -2.5000 5 10 6500 1.0104 0.0173 0.0
-2.5000 -2.3220 5 10 6500 1.0078 0.0096 0.0
-2.3220 -2.1720 5 10 6500 1.0050 0.0082 0.0
-2.1720 -1.9300 5 10 6500 1.0018 -0.0018 0.0
-1.9300 -1.6530 5 10 6500 1.0002 -0.0084 0.0
-1.6530 -1.4790 5 10 6500 0.9995 -0.0084 0.0
-1.4790 -1.3050 5 10 6500 1.0008 -0.0113 0.0
-1.3050 -1.0440 5 10 6500 1.0002 -0.0061 0.0
-1.0440 -0.7830 5 10 6500 0.9993 0.0024 0.0
-0.7830 -0.5220 5 10 6500 0.9995 -0.0026 0.0
-0.5220 -0.2610 5 10 6500 0.9999 0.0022 0.0
-0.2610 -0.0000 5 10 6500 0.9989 0.0066 0.0
0.0000 0.2610 5 10 6500 0.9989 0.0066 0.0
0.2610 0.5220 5 10 6500 0.9999 0.0022 0.0
0.5220 0.7830 5 10 6500 0.9995 -0.0026 0.0
0.7830 1.0440 5 10 6500 0.9993 0.0024 0.0
1.0440 1.3050 5 10 6500 1.0002 -0.0061 0.0
1.3050 1.4790 5 10 6500 1.0008 -0.0113 0.0
1.4790 1.6530 5 10 6500 0.9995 -0.0084 0.0
1.6530 1.9300 5 10 6500 1.0002 -0.0084 0.0
1.9300 2.1720 5 10 6500 1.0018 -0.0018 0.0
2.1720 2.3220 5 10 6500 1.0050 0.0082 0.0
2.3220 2.5000 5 10 6500 1.0078 0.0096 0.0
2.5000 2.6500 5 10 6500 1.0104 0.0173 0.0
2.6500 2.8530 5 10 6500 1.0157 -0.0163 0.0
2.8530 2.9640 5 10 6500 1.0096 -0.1256 0.0
2.9640 3.1390 5 10 6500 0.9940 -0.0734 0.0
3.1390 3.4890 5 10 6500 1.0047 -0.0082 0.0
3.4890 3.8390 5 10 6500 1.0100 0.0222 0.0
3.8390 5.1910 5 10 6500 1.0613 0.6580 0.0
