{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 1.0240 0.3903 0.0
-3.8390 -3.4890 5 10 6500 0.9917 -0.0215 0.0
-3.4890 -3.1390 5 10 6500 0.9791 -0.0177 0.0
-3.1390 -2.9640 5 10 6500 0.9836 -0.1004 0.0
-2.9640 -2.8530 5 10 6500 1.0337 0.0569 0.0
-2.8530 -2.6500 5 10 6500 1.0311 -0.1555 0.0
-2.6500 -2.5000 5 10 6500 1.0043 -0.0152 0.0
-2.5000 -2.3220 5 10 6500 0.9896 0.0203 0.0
-2.3220 -2.1720 5 10 6500 0.9831 0.0222 0.0
-2.1720 -1.9300 5 10 6500 0.9864 0.0053 0.0
-1.9300 -1.6530 5 10 6500 0.9864 -0.0163 0.0
-1.6530 -1.4790 5 10 6500 0.9861 -0.0090 0.0
-1.4790 -1.3050 5 10 6500 0.9910 -0.0016 0.0
-1.3050 -1.0440 5 10 6500 0.9940 0.0059 0.0
-1.0440 -0.7830 5 10 6500 0.9963 0.0034 0.0
-0.7830 -0.5220 5 10 6500 0.9983 0.0016 0.0
-0.5220 -0.2610 5 10 6500 0.9990 0.0031 0.0
-0.2610 -0.0000 5 10 6500 0.9991 0.0072 0.0
0.0000 0.2610 5 10 6500 0.9991 0.0072 0.0
0.2610 0.5220 5 10 6500 0.9990 0.0031 0.0
0.5220 0.7830 5 10 6500 0.9983 0.0016 0.0
0.7830 1.0440 5 10 6500 0.9963 0.0034 0.0
1.0440 1.3050 5 10 6500 0.9940 0.0059 0.0
1.3050 1.4790 5 10 6500 0.9910 -0.0016 0.0
1.4790 1.6530 5 10 6500 0.9861 -0.0090 0.0
1.6530 1.9300 5 10 6500 0.9864 -0.0163 0.0
1.9300 2.1720 5 10 6500 0.9864 0.0053 0.0
2.1720 2.3220 5 10 6500 0.9831 0.0222 0.0
2.3220 2.5000 5 10 6500 0.9896 0.0203 0.0
2.5000 2.6500 5 10 6500 1.0043 -0.0152 0.0
2.6500 2.8530 5 10 6500 1.0311 -0.1555 0.0
2.8530 2.9640 5 10 6500 1.0337 0.0569 0.0
2.9640 3.1390 5 10 6500 0.9836 -0.1004 0.0
3.1390 3.4890 5 10 6500 0.9791 -0.0177 0.0
3.4890 3.8390 5 10 6500 0.9917 -0.0215 0.0
3.8390 5.1910 5 10 6500 1.0240 0.3903 0.0
