{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 1.0327 0.4374 0.0
-3.8390 -3.4890 5 10 6500 0.9974 -0.0128 0.0
-3.4890 -3.1390 5 10 6500 0.9792 -0.0357 0.0
-3.1390 -2.9640 5 10 6500 0.9856 -0.1069 0.0
-2.9640 -2.8530 5 10 6500 1.0235 0.0974 0.0
-2.8530 -2.6500 5 10 6500 1.0202 -0.0843 0.0
-2.6500 -2.5000 5 10 6500 0.9979 0.0133 0.0
-2.5000 -2.3220 5 10 6500 0.9931 0.0151 0.0
-2.3220 -2.1720 5 10 6500 0.9866 0.0209 0.0
-2.1720 -1.9300 5 10 6500 0.9912 0.0033 0.0
-1.9300 -1.6530 5 10 6500 0.9904 -0.0193 0.0
-1.6530 -1.4790 5 10 6500 0.9898 -0.0083 0.0
-1.4790 -1.3050 5 10 6500 0.9939 -0.0028 0.0
-1.3050 -1.0440 5 10 6500 0.9950 0.0061 0.0
-1.0440 -0.7830 5 10 6500 0.9967 0.0025 0.0
-0.7830 -0.5220 5 10 6500 0.9986 0.0005 0.0
-0.5220 -0.2610 5 10 6500 0.9997 0.0027 0.0
-0.2610 -0.0000 5 10 6500 0.9994 0.0052 0.0
0.0000 0.2610 5 10 6500 0.9994 0.0052 0.0
0.2610 0.5220 5 10 6500 0.9997 0.0027 0.0
0.5220 0.7830 5 10 6500 0.9986 0.0005 0.0
0.7830 1.0440 5 10 6500 0.9967 0.0025 0.0
1.0440 1.3050 5 10 6500 0.9950 0.0061 0.0
1.3050 1.4790 5 10 6500 0.9939 -0.0028 0.0
1.4790 1.6530 5 10 6500 0.9898 -0.0083 0.0
1.6530 1.9300 5 10 6500 0.9904 -0.0193 0.0
1.9300 2.1720 5 10 6500 0.9912 0.0033 0.0
2.1720 2.3220 5 10 6500 0.9866 0.0209 0.0
2.3220 2.5000 5 10 6500 0.9931 0.0151 0.0
2.5000 2.6500 5 10 6500 0.9979 0.0133 0.0
2.6500 2.8530 5 10 6500 1.0202 -0.0843 0.0
2.8530 2.9640 5 10 6500 1.0235 0.0974 0.0
2.9640 3.1390 5 10 6500 0.9856 -0.1069 0.0
3.1390 3.4890 5 10 6500 0.9792 -0.0357 0.0
3.4890 3.8390 5 10 6500 0.9974 -0.0128 0.0
3.8390 5.1910 5 10 6500 1.0327 0.4374 0.0
