{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 1.0146 0.2125 0.0
-3.8390 -3.4890 5 10 6500 1.0036 0.0412 0.0
-3.4890 -3.1390 5 10 6500 0.9851 -0.0139 0.0
-3.1390 -2.9640 5 10 6500 0.9889 -0.0953 0.0
-2.9640 -2.8530 5 10 6500 1.0223 -0.1884 0.0
-2.8530 -2.6500 5 10 6500 1.0277 -0.0873 0.0
-2.6500 -2.5000 5 10 6500 1.0045 0.0054 0.0
-2.5000 -2.3220 5 10 6500 0.9969 0.0218 0.0
-2.3220 -2.1720 5 10 6500 0.9935 0.0195 0.0
-2.1720 -1.9300 5 10 6500 0.9962 0.0098 0.0
-1.9300 -1.6530 5 10 6500 0.9948 -0.0062 0.0
-1.6530 -1.4790 5 10 6500 0.9933 -0.0013 0.0
-1.4790 -1.3050 5 10 6500 0.9956 -0.0069 0.0
-1.3050 -1.0440 5 10 6500 0.9951 -0.0024 0.0
-1.0440 -0.7830 5 10 6500 0.9959 0.0022 0.0
-0.7830 -0.5220 5 10 6500 0.9979 -0.0043 0.0
-0.5220 -0.2610 5 10 6500 0.9999 0.0035 0.0
-0.2610 -0.0000 5 10 6500 0.9990 0.0049 0.0
0.0000 0.2610 5 10 6500 0.9990 0.0049 0.0
0.2610 0.5220 5 10 6500 0.9999 0.0035 0.0
0.5220 0.7830 5 10 6500 0.9979 -0.0043 0.0
0.7830 1.0440 5 10 6500 0.9959 0.0022 0.0
1.0440 1.3050 5 10 6500 0.9951 -0.0024 0.0
1.3050 1.4790 5 10 6500 0.9956 -0.0069 0.0
1.4790 1.6530 5 10 6500 0.9933 -0.0013 0.0
1.6530 1.9300 5 10 6500 0.9948 -0.0062 0.0
1.9300 2.1720 5 10 6500 0.9962 0.0098 0.0
2.1720 2.3220 5 10 6500 0.9935 0.0195 0.0
2.3220 2.5000 5 10 6500 0.9969 0.0218 0.0
2.5000 2.6500 5 10 6500 1.0045 0.0054 0.0
2.6500 2.8530 5 10 6500 1.0277 -0.0873 0.0
2.8530 2.9640 5 10 6500 1.0223 -0.1884 0.0
2.9640 3.1390 5 10 6500 0.9889 -0.0953 0.0
3.1390 3.4890 5 10 6500 0.9851 -0.0139 0.0
3.4890 3.8390 5 10 6500 1.0036 0.0412 0.0
3.8390 5.1910 5 10 6500 1.0146 0.2125 0.0
