{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 1.0630 0.9179 0.0
-3.8390 -3.4890 5 10 6500 1.0231 0.2552 0.0
-3.4890 -3.1390 5 10 6500 0.9884 -0.0203 0.0
-3.1390 -2.9640 5 10 6500 0.9887 -0.0788 0.0
-2.9640 -2.8530 5 10 6500 1.0127 -0.2304 0.0
-2.8530 -2.6500 5 10 6500 1.0199 -0.1122 0.0
-2.6500 -2.5000 5 10 6500 0.9988 0.0242 0.0
-2.5000 -2.3220 5 10 6500 0.9975 0.0192 0.0
-2.3220 -2.1720 5 10 6500 0.9870 0.0594 0.0
-2.1720 -1.9300 5 10 6500 0.9920 0.0059 0.0
-1.9300 -1.6530 5 10 6500 0.9894 -0.0042 0.0
-1.6530 -1.4790 5 10 6500 0.9888 0.0085 0.0
-1.4790 -1.3050 5 10 6500 0.9965 -0.0027 0.0
-1.3050 -1.0440 5 10 6500 0.9952 0.0059 0.0
-1.0440 -0.7830 5 10 6500 0.9962 0.0200 0.0
-0.7830 -0.5220 5 10 6500 0.9975 0.0000 0.0
-0.5220 -0.2610 5 10 6500 1.0002 -0.0029 0.0
-0.2610 -0.0000 5 10 6500 1.0020 -0.0144 0.0
0.0000 0.2610 5 10 6500 1.0020 -0.0144 0.0
0.2610 0.5220 5 10 6500 1.0002 -0.0029 0.0
0.5220 0.7830 5 10 6500 0.9975 0.0000 0.0
0.7830 1.0440 5 10 6500 0.9962 0.0200 0.0
1.0440 1.3050 5 10 6500 0.9952 0.0059 0.0
1.3050 1.4790 5 10 6500 0.9965 -0.0027 0.0
1.4790 1.6530 5 10 6500 0.9888 0.0085 0.0
1.6530 1.9300 5 10 6500 0.9894 -0.0042 0.0
1.9300 2.1720 5 10 6500 0.9920 0.0059 0.0
2.1720 2.3220 5 10 6500 0.9870 0.0594 0.0
2.3220 2.5000 5 10 6500 0.9975 0.0192 0.0
2.5000 2.6500 5 10 6500 0.9988 0.0242 0.0
2.6500 2.8530 5 10 6500 1.0199 -0.1122 0.0
2.8530 2.9640 5 10 6500 1.0127 -0.2304 0.0
2.9640 3.1390 5 10 6500 0.9887 -0.0788 0.0
3.1390 3.4890 5 10 6500 0.9884 -0.0203 0.0
3.4890 3.8390 5 10 6500 1.0231 0.2552 0.0
3.8390 5.1910 5 10 6500 1.0630 0.9179 0.0
