{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 1.0276 0.4095 0.0
-3.8390 -3.4890 5 10 6500 0.9909 -0.0337 0.0
-3.4890 -3.1390 5 10 6500 0.9814 0.0039 0.0
-3.1390 -2.9640 5 10 6500 0.9804 -0.1097 0.0
-2.9640 -2.8530 5 10 6500 1.0336 0.0924 0.0
-2.8530 -2.6500 5 10 6500 1.0331 -0.2414 0.0
-2.6500 -2.5000 5 10 6500 1.0086 -0.0514 0.0
-2.5000 -2.3220 5 10 6500 0.9863 0.0343 0.0
-2.3220 -2.1720 5 10 6500 0.9801 0.0409 0.0
-2.1720 -1.9300 5 10 6500 0.9818 0.0094 0.0
-1.9300 -1.6530 5 10 6500 0.9824 -0.0152 0.0
-1.6530 -1.4790 5 10 6500 0.9829 -0.0184 0.0
-1.4790 -1.3050 5 10 6500 0.9878 -0.0022 0.0
-1.3050 -1.0440 5 10 6500 0.9930 0.0088 0.0
-1.0440 -0.7830 5 10 6500 0.9954 0.0042 0.0
-0.7830 -0.5220 5 10 6500 0.9978 0.0047 0.0
-0.5220 -0.2610 5 10 6500 0.9977 0.0002 0.0
-0.2610 -0.0000 5 10 6500 0.9987 0.0133 0.0
0.0000 0.2610 5 10 6500 0.9987 0.0133 0.0
0.2610 0.5220 5 10 6500 0.9977 0.0002 0.0
0.5220 0.7830 5 10 6500 0.9978 0.0047 0.0
0.7830 1.0440 5 10 6500 0.9954 0.0042 0.0
1.0440 1.3050 5 10 6500 0.9930 0.0088 0.0
1.3050 1.4790 5 10 6500 0.9878 -0.0022 0.0
1.4790 1.6530 5 10 6500 0.9829 -0.0184 0.0
1.6530 1.9300 5 10 6500 0.9824 -0.0152 0.0
1.9300 2.1720 5 10 6500 0.9818 0.0094 0.0
2.1720 2.3220 5 10 6500 0.9801 0.0409 0.0
2.3220 2.5000 5 10 6500 0.9863 0.0343 0.0
2.5000 2.6500 5 10 6500 1.0086 -0.0514 0.0
2.6500 2.8530 5 10 6500 1.0331 -0.2414 0.0
2.8530 2.9640 5 10 6500 1.0336 0.0924 0.0
2.9640 3.1390 5 10 6500 0.9804 -0.1097 0.0
3.1390 3.4890 5 10 6500 0.9814 0.0039 0.0
3.4890 3.8390 5 10 6500 0.9909 -0.0337 0.0
3.8390 5.1910 5 10 6500 1.0276 0.4095 0.0
