{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 0.9620 -0.0212 0.0
-3.8390 -3.4890 5 10 6500 0.9895 -0.0254 0.0
-3.4890 -3.1390 5 10 6500 0.9652 -0.0811 0.0
-3.1390 -2.9640 5 10 6500 0.9787 -0.1031 0.0
-2.9640 -2.8530 5 10 6500 1.0149 -0.6218 0.0
-2.8530 -2.6500 5 10 6500 1.0170 -0.2837 0.0
-2.6500 -2.5000 5 10 6500 0.9931 -0.0450 0.0
-2.5000 -2.3220 5 10 6500 0.9885 0.0073 0.0
-2.3220 -2.1720 5 10 6500 0.9827 0.0690 0.0
-2.1720 -1.9300 5 10 6500 0.9904 0.0482 0.0
-1.9300 -1.6530 5 10 6500 0.9882 0.0039 0.0
-1.6530 -1.4790 5 10 6500 0.9880 0.0194 0.0
-1.4790 -1.3050 5 10 6500 0.9933 0.0257 0.0
-1.3050 -1.0440 5 10 6500 0.9947 0.0321 0.0
-1.0440 -0.7830 5 10 6500 0.9961 0.0091 0.0
-0.7830 -0.5220 5 10 6500 0.9982 -0.0053 0.0
-0.5220 -0.2610 5 10 6500 0.9994 0.0006 0.0
-0.2610 -0.0000 5 10 6500 0.9994 0.0064 0.0
0.0000 0.2610 5 10 6500 0.9994 0.0064 0.0
0.2610 0.5220 5 10 6500 0.9994 0.0006 0.0
0.5220 0.7830 5 10 6500 0.9982 -0.0053 0.0
0.7830 1.0440 5 10 6500 0.9961 0.0091 0.0
1.0440 1.3050 5 10 6500 0.9947 0.0321 0.0
1.3050 1.4790 5 10 6500 0.9933 0.0257 0.0
1.4790 1.6530 5 10 6500 0.9880 0.0194 0.0
1.6530 1.9300 5 10 6500 0.9882 0.0039 0.0
1.9300 2.1720 5 10 6500 0.9904 0.0482 0.0
2.1720 2.3220 5 10 6500 0.9827 0.0690 0.0
2.3220 2.5000 5 10 6500 0.9885 0.0073 0.0
2.5000 2.6500 5 10 6500 0.9931 -0.0450 0.0
2.6500 2.8530 5 10 6500 1.0170 -0.2837 0.0
2.8530 2.9640 5 10 6500 1.0149 -0.6218 0.0
2.9640 3.1390 5 10 6500 0.9787 -0.1031 0.0
3.1390 3.4890 5 10 6500 0.9652 -0.0811 0.0
3.4890 3.8390 5 10 6500 0.9895 -0.0254 0.0
3.8390 5.1910 5 10 6500 0.9620 -0.0212 0.0
