{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 0.9050 -0.5383 0.0
-3.8390 -3.4890 5 10 6500 0.9879 -0.0216 0.0
-3.4890 -3.1390 5 10 6500 0.9628 -0.1174 0.0
-3.1390 -2.9640 5 10 6500 0.9733 -0.3024 0.0
-2.9640 -2.8530 5 10 6500 1.0188 -0.6849 0.0
-2.8530 -2.6500 5 10 6500 1.0244 -0.2911 0.0
-2.6500 -2.5000 5 10 6500 0.9971 -0.0794 0.0
-2.5000 -2.3220 5 10 6500 0.9924 0.0348 0.0
-2.3220 -2.1720 5 10 6500 0.9886 0.0318 0.0
-2.1720 -1.9300 5 10 6500 0.9964 0.0599 0.0
-1.9300 -1.6530 5 10 6500 0.9930 -0.0047 0.0
-1.6530 -1.4790 5 10 6500 0.9919 0.0222 0.0
-1.4790 -1.3050 5 10 6500 0.9943 0.0067 0.0
-1.3050 -1.0440 5 10 6500 0.9938 0.0032 0.0
-1.0440 -0.7830 5 10 6500 0.9946 -0.0037 0.0
-0.7830 -0.5220 5 10 6500 0.9971 -0.0123 0.0
-0.5220 -0.2610 5 10 6500 1.0001 0.0081 0.0
-0.2610 -0.0000 5 10 6500 0.9988 -0.0009 0.0
0.0000 0.2610 5 10 6500 0.9988 -0.0009 0.0
0.2610 0.5220 5 10 6500 1.0001 0.0081 0.0
0.5220 0.7830 5 10 6500 0.9971 -0.0123 0.0
0.7830 1.0440 5 10 6500 0.9946 -0.0037 0.0
1.0440 1.3050 5 10 6500 0.9938 0.0032 0.0
1.3050 1.4790 5 10 6500 0.9943 0.0067 0.0
1.4790 1.6530 5 10 6500 0.9919 0.0222 0.0
1.6530 1.9300 5 10 6500 0.9930 -0.0047 0.0
1.9300 2.1720 5 10 6500 0.9964 0.0599 0.0
2.1720 2.3220 5 10 6500 0.9886 0.0318 0.0
2.3220 2.5000 5 10 6500 0.9924 0.0348 0.0
2.5000 2.6500 5 10 6500 0.9971 -0.0794 0.0
2.6500 2.8530 5 10 6500 1.0244 -0.2911 0.0
2.8530 2.9640 5 10 6500 1.0188 -0.6849 0.0
2.9640 3.1390 5 10 6500 0.9733 -0.3024 0.0
3.1390 3.4890 5 10 6500 0.9628 -0.1174 0.0
3.4890 3.8390 5 10 6500 0.9879 -0.0216 0.0
3.8390 5.1910 5 10 6500 0.9050 -0.5383 0.0
