{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 1.0313 0.4252 0.0
-3.8390 -3.4890 5 10 6500 0.9992 0.0138 0.0
-3.4890 -3.1390 5 10 6500 0.9777 -0.0507 0.0
-3.1390 -2.9640 5 10 6500 0.9828 -0.0878 0.0
-2.9640 -2.8530 5 10 6500 1.0250 -0.0705 0.0
-2.8530 -2.6500 5 10 6500 1.0201 -0.1012 0.0
-2.6500 -2.5000 5 10 6500 0.9976 0.0020 0.0
-2.5000 -2.3220 5 10 6500 0.9926 0.0092 0.0
-2.3220 -2.1720 5 10 6500 0.9862 0.0231 0.0
-2.1720 -1.9300 5 10 6500 0.9910 0.0029 0.0
-1.9300 -1.6530 5 10 6500 0.9903 -0.0165 0.0
-1.6530 -1.4790 5 10 6500 0.9898 -0.0071 0.0
-1.4790 -1.3050 5 10 6500 0.9940 0.0004 0.0
-1.3050 -1.0440 5 10 6500 0.9951 0.0113 0.0
-1.0440 -0.7830 5 10 6500 0.9967 0.0098 0.0
-0.7830 -0.5220 5 10 6500 0.9987 0.0008 0.0
-0.5220 -0.2610 5 10 6500 0.9996 0.0023 0.0
-0.2610 -0.0000 5 10 6500 0.9995 0.0058 0.0
0.0000 0.2610 5 10 6500 0.9995 0.0058 0.0
0.2610 0.5220 5 10 6500 0.9996 0.0023 0.0
0.5220 0.7830 5 10 6500 0.9987 0.0008 0.0
0.7830 1.0440 5 10 6500 0.9967 0.0098 0.0
1.0440 1.3050 5 10 6500 0.9951 0.0113 0.0
1.3050 1.4790 5 10 6500 0.9940 0.0004 0.0
1.4790 1.6530 5 10 6500 0.9898 -0.0071 0.0
1.6530 1.9300 5 10 6500 0.9903 -0.0165 0.0
1.9300 2.1720 5 10 6500 0.9910 0.0029 0.0
2.1720 2.3220 5 10 6500 0.9862 0.0231 0.0
2.3220 2.5000 5 10 6500 0.9926 0.0092 0.0
2.5000 2.6500 5 10 6500 0.9976 0.0020 0.0
2.6500 2.8530 5 10 6500 1.0201 -0.1012 0.0
2.8530 2.9640 5 10 6500 1.0250 -0.0705 0.0
2.9640 3.1390 5 10 6500 0.9828 -0.0878 0.0
3.1390 3.4890 5 10 6500 0.9777 -0.0507 0.0
3.4890 3.8390 5 10 6500 0.9992 0.0138 0.0
3.8390 5.1910 5 10 6500 1.0313 0.4252 0.0
