{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 1.0144 0.2109 0.0
-3.8390 -3.4890 5 10 6500 1.0038 0.0456 0.0
-3.4890 -3.1390 5 10 6500 0.9841 -0.0246 0.0
-3.1390 -2.9640 5 10 6500 0.9892 -0.0799 0.0
-2.9640 -2.8530 5 10 6500 1.0186 -0.3041 0.0
-2.8530 -2.6500 5 10 6500 1.0256 -0.1018 0.0
-2.6500 -2.5000 5 10 6500 1.0041 0.0048 0.0
-2.5000 -2.3220 5 10 6500 0.9967 0.0213 0.0
-2.3220 -2.1720 5 10 6500 0.9933 0.0230 0.0
-2.1720 -1.9300 5 10 6500 0.9962 0.0123 0.0
-1.9300 -1.6530 5 10 6500 0.9948 -0.0038 0.0
-1.6530 -1.4790 5 10 6500 0.9933 0.0020 0.0
-1.4790 -1.3050 5 10 6500 0.9956 -0.0036 0.0
-1.3050 -1.0440 5 10 6500 0.9953 0.0062 0.0
-1.0440 -0.7830 5 10 6500 0.9960 0.0090 0.0
-0.7830 -0.5220 5 10 6500 0.9981 -0.0027 0.0
-0.5220 -0.2610 5 10 6500 0.9999 0.0112 0.0
-0.2610 -0.0000 5 10 6500 0.9993 0.0081 0.0
0.0000 0.2610 5 10 6500 0.9993 0.0081 0.0
0.2610 0.5220 5 10 6500 0.9999 0.0112 0.0
0.5220 0.7830 5 10 6500 0.9981 -0.0027 0.0
0.7830 1.0440 5 10 6500 0.9960 0.0090 0.0
1.0440 1.3050 5 10 6500 0.9953 0.0062 0.0
1.3050 1.4790 5 10 6500 0.9956 -0.0036 0.0
1.4790 1.6530 5 10 6500 0.9933 0.0020 0.0
1.6530 1.9300 5 10 6500 0.9948 -0.0038 0.0
1.9300 2.1720 5 10 6500 0.9962 0.0123 0.0
2.1720 2.3220 5 10 6500 0.9933 0.0230 0.0
2.3220 2.5000 5 10 6500 0.9967 0.0213 0.0
2.5000 2.6500 5 10 6500 1.0041 0.0048 0.0
2.6500 2.8530 5 10 6500 1.0256 -0.1018 0.0
2.8530 2.9640 5 10 6500 1.0186 -0.3041 0.0
2.9640 3.1390 5 10 6500 0.9892 -0.0799 0.0
3.1390 3.4890 5 10 6500 0.9841 -0.0246 0.0
3.4890 3.8390 5 10 6500 1.0038 0.0456 0.0
3.8390 5.1910 5 10 6500 1.0144 0.2109 0.0
