{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 1.0642 0.9273 0.0
-3.8390 -3.4890 5 10 6500 1.0240 0.2676 0.0
-3.4890 -3.1390 5 10 6500 0.9875 -0.0316 0.0
-3.1390 -2.9640 5 10 6500 0.9889 -0.0637 0.0
-2.9640 -2.8530 5 10 6500 1.0110 -0.2149 0.0
-2.8530 -2.6500 5 10 6500 1.0182 -0.1185 0.0
-2.6500 -2.5000 5 10 6500 0.9982 0.0230 0.0
-2.5000 -2.3220 5 10 6500 0.9973 0.0236 0.0
-2.3220 -2.1720 5 10 6500 0.9868 0.0653 0.0
-2.1720 -1.9300 5 10 6500 0.9919 0.0101 0.0
-1.9300 -1.6530 5 10 6500 0.9894 -0.0005 0.0
-1.6530 -1.4790 5 10 6500 0.9889 0.0118 0.0
-1.4790 -1.3050 5 10 6500 0.9965 0.0021 0.0
-1.3050 -1.0440 5 10 6500 0.9950 0.0118 0.0
-1.0440 -0.7830 5 10 6500 0.9960 0.0202 0.0
-0.7830 -0.5220 5 10 6500 0.9974 -0.0012 0.0
-0.5220 -0.2610 5 10 6500 1.0001 -0.0080 0.0
-0.2610 -0.0000 5 10 6500 1.0019 -0.0100 0.0
0.0000 0.2610 5 10 6500 1.0019 -0.0100 0.0
0.2610 0.5220 5 10 6500 1.0001 -0.0080 0.0
0.5220 0.7830 5 10 6500 0.9974 -0.0012 0.0
0.7830 1.0440 5 10 6500 0.9960 0.0202 0.0
1.0440 1.3050 5 10 6500 0.9950 0.0118 0.0
1.3050 1.4790 5 10 6500 0.9965 0.0021 0.0
1.4790 1.6530 5 10 6500 0.9889 0.0118 0.0
1.6530 1.9300 5 10 6500 0.9894 -0.0005 0.0
1.9300 2.1720 5 10 6500 0.9919 0.0101 0.0
2.1720 2.3220 5 10 6500 0.9868 0.0653 0.0
2.3220 2.5000 5 10 6500 0.9973 0.0236 0.0
2.5000 2.6500 5 10 6500 0.9982 0.0230 0.0
2.6500 2.8530 5 10 6500 1.0182 -0.1185 0.0
2.8530 2.9640 5 10 6500 1.0110 -0.2149 0.0
2.9640 3.1390 5 10 6500 0.9889 -0.0637 0.0
3.1390 3.4890 5 10 6500 0.9875 -0.0316 0.0
3.4890 3.8390 5 10 6500 1.0240 0.2676 0.0
3.8390 5.1910 5 10 6500 1.0642 0.9273 0.0
