{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 1.0230 0.3814 0.0
-3.8390 -3.4890 5 10 6500 0.9939 0.0069 0.0
-3.4890 -3.1390 5 10 6500 0.9778 -0.0320 0.0
-3.1390 -2.9640 5 10 6500 0.9815 -0.0814 0.0
-2.9640 -2.8530 5 10 6500 1.0341 -0.1820 0.0
-2.8530 -2.6500 5 10 6500 1.0312 -0.1627 0.0
-2.6500 -2.5000 5 10 6500 1.0040 -0.0249 0.0
-2.5000 -2.3220 5 10 6500 0.9891 0.0140 0.0
-2.3220 -2.1720 5 10 6500 0.9828 0.0229 0.0
-2.1720 -1.9300 5 10 6500 0.9862 0.0040 0.0
-1.9300 -1.6530 5 10 6500 0.9864 -0.0148 0.0
-1.6530 -1.4790 5 10 6500 0.9862 -0.0087 0.0
-1.4790 -1.3050 5 10 6500 0.9911 0.0004 0.0
-1.3050 -1.0440 5 10 6500 0.9940 0.0036 0.0
-1.0440 -0.7830 5 10 6500 0.9963 0.0047 0.0
-0.7830 -0.5220 5 10 6500 0.9984 0.0022 0.0
-0.5220 -0.2610 5 10 6500 0.9990 0.0017 0.0
-0.2610 -0.0000 5 10 6500 0.9991 0.0080 0.0
0.0000 0.2610 5 10 6500 0.9991 0.0080 0.0
0.2610 0.5220 5 10 6500 0.9990 0.0017 0.0
0.5220 0.7830 5 10 6500 0.9984 0.0022 0.0
0.7830 1.0440 5 10 6500 0.9963 0.0047 0.0
1.0440 1.3050 5 10 6500 0.9940 0.0036 0.0
1.3050 1.4790 5 10 6500 0.9911 0.0004 0.0
1.4790 1.6530 5 10 6500 0.9862 -0.0087 0.0
1.6530 1.9300 5 10 6500 0.9864 -0.0148 0.0
1.9300 2.1720 5 10 6500 0.9862 0.0040 0.0
2.1720 2.3220 5 10 6500 0.9828 0.0229 0.0
2.3220 2.5000 5 10 6500 0.9891 0.0140 0.0
2.5000 2.6500 5 10 6500 1.0040 -0.0249 0.0
2.6500 2.8530 5 10 6500 1.0312 -0.1627 0.0
2.8530 2.9640 5 10 6500 1.0341 -0.1820 0.0
2.9640 3.1390 5 10 6500 0.9815 -0.0814 0.0
3.1390 3.4890 5 10 6500 0.9778 -0.0320 0.0
3.4890 3.8390 5 10 6500 0.9939 0.0069 0.0
3.8390 5.1910 5 10 6500 1.0230 0.3814 0.0
