{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 1.0262 0.3979 0.0
-3.8390 -3.4890 5 10 6500 0.9931 -0.0064 0.0
-3.4890 -3.1390 5 10 6500 0.9795 -0.0197 0.0
-3.1390 -2.9640 5 10 6500 0.9803 -0.0975 0.0
-2.9640 -2.8530 5 10 6500 1.0458 -0.0344 0.0
-2.8530 -2.6500 5 10 6500 1.0379 -0.2065 0.0
-2.6500 -2.5000 5 10 6500 1.0097 -0.0343 0.0
-2.5000 -2.3220 5 10 6500 0.9862 0.0283 0.0
-2.3220 -2.1720 5 10 6500 0.9797 0.0394 0.0
-2.1720 -1.9300 5 10 6500 0.9816 0.0057 0.0
-1.9300 -1.6530 5 10 6500 0.9824 -0.0130 0.0
-1.6530 -1.4790 5 10 6500 0.9828 -0.0181 0.0
-1.4790 -1.3050 5 10 6500 0.9878 -0.0001 0.0
-1.3050 -1.0440 5 10 6500 0.9930 0.0084 0.0
-1.0440 -0.7830 5 10 6500 0.9955 0.0047 0.0
-0.7830 -0.5220 5 10 6500 0.9977 0.0054 0.0
-0.5220 -0.2610 5 10 6500 0.9979 0.0010 0.0
-0.2610 -0.0000 5 10 6500 0.9986 0.0135 0.0
0.0000 0.2610 5 10 6500 0.9986 0.0135 0.0
0.2610 0.5220 5 10 6500 0.9979 0.0010 0.0
0.5220 0.7830 5 10 6500 0.9977 0.0054 0.0
0.7830 1.0440 5 10 6500 0.9955 0.0047 0.0
1.0440 1.3050 5 10 6500 0.9930 0.0084 0.0
1.3050 1.4790 5 10 6500 0.9878 -0.0001 0.0
1.4790 1.6530 5 10 6500 0.9828 -0.0181 0.0
1.6530 1.9300 5 10 6500 0.9824 -0.0130 0.0
1.9300 2.1720 5 10 6500 0.9816 0.0057 0.0
2.1720 2.3220 5 10 6500 0.9797 0.0394 0.0
2.3220 2.5000 5 10 6500 0.9862 0.0283 0.0
2.5000 2.6500 5 10 6500 1.0097 -0.0343 0.0
2.6500 2.8530 5 10 6500 1.0379 -0.2065 0.0
2.8530 2.9640 5 10 6500 1.0458 -0.0344 0.0
2.9640 3.1390 5 10 6500 0.9803 -0.0975 0.0
3.1390 3.4890 5 10 6500 0.9795 -0.0197 0.0
3.4890 3.8390 5 10 6500 0.9931 -0.0064 0.0
3.8390 5.1910 5 10 6500 1.0262 0.3979 0.0
