{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 0.9529 -0.0318 0.0
-3.8390 -3.4890 5 10 6500 0.9759 -0.0655 0.0
-3.4890 -3.1390 5 10 6500 0.9784 0.0929 0.0
-3.1390 -2.9640 5 10 6500 0.9774 -0.0635 0.0
-2.9640 -2.8530 5 10 6500 1.0293 -0.6792 0.0
-2.8530 -2.6500 5 10 6500 1.0291 -0.6173 0.0
-2.6500 -2.5000 5 10 6500 1.0056 -0.1811 0.0
-2.5000 -2.3220 5 10 6500 0.9805 0.0389 0.0
-2.3220 -2.1720 5 10 6500 0.9721 0.0375 0.0
-2.1720 -1.9300 5 10 6500 0.9766 0.0226 0.0
-1.9300 -1.6530 5 10 6500 0.9785 0.0202 0.0
-1.6530 -1.4790 5 10 6500 0.9776 -0.0112 0.0
-1.4790 -1.3050 5 10 6500 0.9848 0.0177 0.0
-1.3050 -1.0440 5 10 6500 0.9915 0.0197 0.0
-1.0440 -0.7830 5 10 6500 0.9947 0.0172 0.0
-0.7830 -0.5220 5 10 6500 0.9977 0.0137 0.0
-0.5220 -0.2610 5 10 6500 0.9973 0.0012 0.0
-0.2610 -0.0000 5 10 6500 0.9990 0.0239 0.0
0.0000 0.2610 5 10 6500 0.9990 0.0239 0.0
0.2610 0.5220 5 10 6500 0.9973 0.0012 0.0
0.5220 0.7830 5 10 6500 0.9977 0.0137 0.0
0.7830 1.0440 5 10 6500 0.9947 0.0172 0.0
1.0440 1.3050 5 10 6500 0.9915 0.0197 0.0
1.3050 1.4790 5 10 6500 0.9848 0.0177 0.0
1.4790 1.6530 5 10 6500 0.9776 -0.0112 0.0
1.6530 1.9300 5 10 6500 0.9785 0.0202 0.0
1.9300 2.1720 5 10 6500 0.9766 0.0226 0.0
2.1720 2.3220 5 10 6500 0.9721 0.0375 0.0
2.3220 2.5000 5 10 6500 0.9805 0.0389 0.0
2.5000 2.6500 5 10 6500 1.0056 -0.1811 0.0
2.6500 2.8530 5 10 6500 1.0291 -0.6173 0.0
2.8530 2.9640 5 10 6500 1.0293 -0.6792 0.0
2.9640 3.1390 5 10 6500 0.9774 -0.0635 0.0
3.1390 3.4890 5 10 6500 0.9784 0.0929 0.0
3.4890 3.8390 5 10 6500 0.9759 -0.0655 0.0
3.8390 5.1910 5 10 6500 0.9529 -0.0318 0.0
