{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 0.9770 0.9185 0.0
-3.8390 -3.4890 5 10 6500 1.0041 0.4040 0.0
-3.4890 -3.1390 5 10 6500 1.0345 0.2572 0.0
-3.1390 -2.9640 5 10 6500 1.0115 0.3401 0.0
-2.9640 -2.8530 5 10 6500 1.0311 1.8726 0.0
-2.8530 -2.6500 5 10 6500 1.0246 1.2946 0.0
-2.6500 -2.5000 5 10 6500 0.9722 0.6784 0.0
-2.5000 -2.3220 5 10 6500 0.9420 0.1916 0.0
-2.3220 -2.1720 5 10 6500 0.9477 0.0727 0.0
-2.1720 -1.9300 5 10 6500 0.9667 0.1148 0.0
-1.9300 -1.6530 5 10 6500 0.9684 0.0773 0.0
-1.6530 -1.4790 5 10 6500 0.9672 0.0689 0.0
-1.4790 -1.3050 5 10 6500 0.9771 0.0554 0.0
-1.3050 -1.0440 5 10 6500 0.9760 -0.0148 0.0
-1.0440 -0.7830 5 10 6500 0.9863 0.0189 0.0
-0.7830 -0.5220 5 10 6500 0.9830 0.0386 0.0
-0.5220 -0.2610 5 10 6500 0.9815 0.0339 0.0
-0.2610 -0.0000 5 10 6500 0.9824 0.0416 0.0
0.0000 0.2610 5 10 6500 0.9824 0.0416 0.0
0.2610 0.5220 5 10 6500 0.9815 0.0339 0.0
0.5220 0.7830 5 10 6500 0.9830 0.0386 0.0
0.7830 1.0440 5 10 6500 0.9863 0.0189 0.0
1.0440 1.3050 5 10 6500 0.9760 -0.0148 0.0
1.3050 1.4790 5 10 6500 0.9771 0.0554 0.0
1.4790 1.6530 5 10 6500 0.9672 0.0689 0.0
1.6530 1.9300 5 10 6500 0.9684 0.0773 0.0
1.9300 2.1720 5 10 6500 0.9667 0.1148 0.0
2.1720 2.3220 5 10 6500 0.9477 0.0727 0.0
2.3220 2.5000 5 10 6500 0.9420 0.1916 0.0
2.5000 2.6500 5 10 6500 0.9722 0.6784 0.0
2.6500 2.8530 5 10 6500 1.0246 1.2946 0.0
2.8530 2.9640 5 10 6500 1.0311 1.8726 0.0
2.9640 3.1390 5 10 6500 1.0115 0.3401 0.0
3.1390 3.4890 5 10 6500 1.0345 0.2572 0.0
3.4890 3.8390 5 10 6500 1.0041 0.4040 0.0
3.8390 5.1910 5 10 6500 0.9770 0.9185 0.0
