{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 0.9816 0.9340 0.0
-3.8390 -3.4890 5 10 6500 1.0087 0.4166 0.0
-3.4890 -3.1390 5 10 6500 1.0393 0.2708 0.0
-3.1390 -2.9640 5 10 6500 1.0163 0.3550 0.0
-2.9640 -2.8530 5 10 6500 1.0361 1.8949 0.0
-2.8530 -2.6500 5 10 6500 1.0295 1.3156 0.0
-2.6500 -2.5000 5 10 6500 0.9769 0.6962 0.0
-2.5000 -2.3220 5 10 6500 0.9465 0.2066 0.0
-2.3220 -2.1720 5 10 6500 0.9522 0.0868 0.0
-2.1720 -1.9300 5 10 6500 0.9713 0.1291 0.0
-1.9300 -1.6530 5 10 6500 0.9731 0.0910 0.0
-1.6530 -1.4790 5 10 6500 0.9718 0.0825 0.0
-1.4790 -1.3050 5 10 6500 0.9817 0.0691 0.0
-1.3050 -1.0440 5 10 6500 0.9807 -0.0015 0.0
-1.0440 -0.7830 5 10 6500 0.9910 0.0326 0.0
-0.7830 -0.5220 5 10 6500 0.9877 0.0524 0.0
-0.5220 -0.2610 5 10 6500 0.9862 0.0479 0.0
-0.2610 -0.0000 5 10 6500 0.9871 0.0554 0.0
0.0000 0.2610 5 10 6500 0.9871 0.0554 0.0
0.2610 0.5220 5 10 6500 0.9862 0.0479 0.0
0.5220 0.7830 5 10 6500 0.9877 0.0524 0.0
0.7830 1.0440 5 10 6500 0.9910 0.0326 0.0
1.0440 1.3050 5 10 6500 0.9807 -0.0015 0.0
1.3050 1.4790 5 10 6500 0.9817 0.0691 0.0
1.4790 1.6530 5 10 6500 0.9718 0.0825 0.0
1.6530 1.9300 5 10 6500 0.9731 0.0910 0.0
1.9300 2.1720 5 10 6500 0.9713 0.1291 0.0
2.1720 2.3220 5 10 6500 0.9522 0.0868 0.0
2.3220 2.5000 5 10 6500 0.9465 0.2066 0.0
2.5000 2.6500 5 10 6500 0.9769 0.6962 0.0
2.6500 2.8530 5 10 6500 1.0295 1.3156 0.0
2.8530 2.9640 5 10 6500 1.0361 1.8949 0.0
2.9640 3.1390 5 10 6500 1.0163 0.3550 0.0
3.1390 3.4890 5 10 6500 1.0393 0.2708 0.0
3.4890 3.8390 5 10 6500 1.0087 0.4166 0.0
3.8390 5.1910 5 10 6500 0.9816 0.9340 0.0
