{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 0.9976 1.1534 0.0
-3.8390 -3.4890 5 10 6500 1.0024 0.3552 0.0
-3.4890 -3.1390 5 10 6500 1.0361 0.2316 0.0
-3.1390 -2.9640 5 10 6500 0.9953 0.4155 0.0
-2.9640 -2.8530 5 10 6500 0.8806 0.6666 0.0
-2.8530 -2.6500 5 10 6500 0.8725 0.5805 0.0
-2.6500 -2.5000 5 10 6500 0.9048 0.3597 0.0
-2.5000 -2.3220 5 10 6500 0.9248 0.2027 0.0
-2.3220 -2.1720 5 10 6500 0.9432 0.1102 0.0
-2.1720 -1.9300 5 10 6500 0.9684 0.1412 0.0
-1.9300 -1.6530 5 10 6500 0.9695 0.1112 0.0
-1.6530 -1.4790 5 10 6500 0.9696 0.0863 0.0
-1.4790 -1.3050 5 10 6500 0.9827 0.0793 0.0
-1.3050 -1.0440 5 10 6500 0.9854 0.0129 0.0
-1.0440 -0.7830 5 10 6500 0.9938 0.0456 0.0
-0.7830 -0.5220 5 10 6500 0.9902 0.0690 0.0
-0.5220 -0.2610 5 10 6500 0.9881 0.0569 0.0
-0.2610 -0.0000 5 10 6500 0.9897 0.0666 0.0
0.0000 0.2610 5 10 6500 0.9897 0.0666 0.0
0.2610 0.5220 5 10 6500 0.9881 0.0569 0.0
0.5220 0.7830 5 10 6500 0.9902 0.0690 0.0
0.7830 1.0440 5 10 6500 0.9938 0.0456 0.0
1.0440 1.3050 5 10 6500 0.9854 0.0129 0.0
1.3050 1.4790 5 10 6500 0.9827 0.0793 0.0
1.4790 1.6530 5 10 6500 0.9696 0.0863 0.0
1.6530 1.9300 5 10 6500 0.9695 0.1112 0.0
1.9300 2.1720 5 10 6500 0.9684 0.1412 0.0
2.1720 2.3220 5 10 6500 0.9432 0.1102 0.0
2.3220 2.5000 5 10 6500 0.9248 0.2027 0.0
2.5000 2.6500 5 10 6500 0.9048 0.3597 0.0
2.6500 2.8530 5 10 6500 0.8725 0.5805 0.0
2.8530 2.9640 5 10 6500 0.8806 0.6666 0.0
2.9640 3.1390 5 10 6500 0.9953 0.4155 0.0
3.1390 3.4890 5 10 6500 1.0361 0.2316 0.0
3.4890 3.8390 5 10 6500 1.0024 0.3552 0.0
3.8390 5.1910 5 10 6500 0.9976 1.1534 0.0
