{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 0.9725 0.8582 0.0
-3.8390 -3.4890 5 10 6500 1.0018 0.3441 0.0
-3.4890 -3.1390 5 10 6500 1.0316 0.1942 0.0
-3.1390 -2.9640 5 10 6500 1.0138 0.2233 0.0
-2.9640 -2.8530 5 10 6500 1.1012 1.1420 0.0
-2.8530 -2.6500 5 10 6500 1.0855 1.1144 0.0
-2.6500 -2.5000 5 10 6500 1.0180 0.6545 0.0
-2.5000 -2.3220 5 10 6500 0.9581 0.1626 0.0
-2.3220 -2.1720 5 10 6500 0.9527 0.0527 0.0
-2.1720 -1.9300 5 10 6500 0.9665 0.1136 0.0
-1.9300 -1.6530 5 10 6500 0.9680 0.0710 0.0
-1.6530 -1.4790 5 10 6500 0.9684 0.0559 0.0
-1.4790 -1.3050 5 10 6500 0.9758 0.0335 0.0
-1.3050 -1.0440 5 10 6500 0.9711 -0.0268 0.0
-1.0440 -0.7830 5 10 6500 0.9824 0.0086 0.0
-0.7830 -0.5220 5 10 6500 0.9798 0.0219 0.0
-0.5220 -0.2610 5 10 6500 0.9773 0.0186 0.0
-0.2610 -0.0000 5 10 6500 0.9777 0.0301 0.0
0.0000 0.2610 5 10 6500 0.9777 0.0301 0.0
0.2610 0.5220 5 10 6500 0.9773 0.0186 0.0
0.5220 0.7830 5 10 6500 0.9798 0.0219 0.0
0.7830 1.0440 5 10 6500 0.9824 0.0086 0.0
1.0440 1.3050 5 10 6500 0.9711 -0.0268 0.0
1.3050 1.4790 5 10 6500 0.9758 0.0335 0.0
1.4790 1.6530 5 10 6500 0.9684 0.0559 0.0
1.6530 1.9300 5 10 6500 0.9680 0.0710 0.0
1.9300 2.1720 5 10 6500 0.9665 0.1136 0.0
2.1720 2.3220 5 10 6500 0.9527 0.0527 0.0
2.3220 2.5000 5 10 6500 0.9581 0.1626 0.0
2.5000 2.6500 5 10 6500 1.0180 0.6545 0.0
2.6500 2.8530 5 10 6500 1.0855 1.1144 0.0
2.8530 2.9640 5 10 6500 1.1012 1.1420 0.0
2.9640 3.1390 5 10 6500 1.0138 0.2233 0.0
3.1390 3.4890 5 10 6500 1.0316 0.1942 0.0
3.4890 3.8390 5 10 6500 1.0018 0.3441 0.0
3.8390 5.1910 5 10 6500 0.9725 0.8582 0.0
