{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 0.9351 0.5089 0.0
-3.8390 -3.4890 5 10 6500 0.9832 0.3497 0.0
-3.4890 -3.1390 5 10 6500 1.0008 0.2608 0.0
-3.1390 -2.9640 5 10 6500 0.9927 0.3338 0.0
-2.9640 -2.8530 5 10 6500 1.0692 1.5932 0.0
-2.8530 -2.6500 5 10 6500 1.0354 0.9643 0.0
-2.6500 -2.5000 5 10 6500 0.9753 0.5526 0.0
-2.5000 -2.3220 5 10 6500 0.9334 0.1800 0.0
-2.3220 -2.1720 5 10 6500 0.9331 0.0819 0.0
-2.1720 -1.9300 5 10 6500 0.9544 0.1182 0.0
-1.9300 -1.6530 5 10 6500 0.9553 0.0826 0.0
-1.6530 -1.4790 5 10 6500 0.9552 0.0709 0.0
-1.4790 -1.3050 5 10 6500 0.9682 0.0585 0.0
-1.3050 -1.0440 5 10 6500 0.9699 -0.0088 0.0
-1.0440 -0.7830 5 10 6500 0.9816 0.0215 0.0
-0.7830 -0.5220 5 10 6500 0.9808 0.0399 0.0
-0.5220 -0.2610 5 10 6500 0.9796 0.0336 0.0
-0.2610 -0.0000 5 10 6500 0.9805 0.0433 0.0
0.0000 0.2610 5 10 6500 0.9805 0.0433 0.0
0.2610 0.5220 5 10 6500 0.9796 0.0336 0.0
0.5220 0.7830 5 10 6500 0.9808 0.0399 0.0
0.7830 1.0440 5 10 6500 0.9816 0.0215 0.0
1.0440 1.3050 5 10 6500 0.9699 -0.0088 0.0
1.3050 1.4790 5 10 6500 0.9682 0.0585 0.0
1.4790 1.6530 5 10 6500 0.9552 0.0709 0.0
1.6530 1.9300 5 10 6500 0.9553 0.0826 0.0
1.9300 2.1720 5 10 6500 0.9544 0.1182 0.0
2.1720 2.3220 5 10 6500 0.9331 0.0819 0.0
2.3220 2.5000 5 10 6500 0.9334 0.1800 0.0
2.5000 2.6500 5 10 6500 0.9753 0.5526 0.0
2.6500 2.8530 5 10 6500 1.0354 0.9643 0.0
2.8530 2.9640 5 10 6500 1.0692 1.5932 0.0
2.9640 3.1390 5 10 6500 0.9927 0.3338 0.0
3.1390 3.4890 5 10 6500 1.0008 0.2608 0.0
3.4890 3.8390 5 10 6500 0.9832 0.3497 0.0
3.8390 5.1910 5 10 6500 0.9351 0.5089 0.0
