{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 0.9454 0.5750 0.0
-3.8390 -3.4890 5 10 6500 0.9915 0.3800 0.0
-3.4890 -3.1390 5 10 6500 0.9999 0.2688 0.0
-3.1390 -2.9640 5 10 6500 0.9892 0.3622 0.0
-2.9640 -2.8530 5 10 6500 1.0227 1.7209 0.0
-2.8530 -2.6500 5 10 6500 0.9712 1.0850 0.0
-2.6500 -2.5000 5 10 6500 0.9422 0.6078 0.0
-2.5000 -2.3220 5 10 6500 0.9264 0.2021 0.0
-2.3220 -2.1720 5 10 6500 0.9334 0.0975 0.0
-2.1720 -1.9300 5 10 6500 0.9607 0.1308 0.0
-1.9300 -1.6530 5 10 6500 0.9610 0.0937 0.0
-1.6530 -1.4790 5 10 6500 0.9605 0.0854 0.0
-1.4790 -1.3050 5 10 6500 0.9738 0.0729 0.0
-1.3050 -1.0440 5 10 6500 0.9753 0.0048 0.0
-1.0440 -0.7830 5 10 6500 0.9861 0.0343 0.0
-0.7830 -0.5220 5 10 6500 0.9843 0.0538 0.0
-0.5220 -0.2610 5 10 6500 0.9846 0.0471 0.0
-0.2610 -0.0000 5 10 6500 0.9851 0.0560 0.0
0.0000 0.2610 5 10 6500 0.9851 0.0560 0.0
0.2610 0.5220 5 10 6500 0.9846 0.0471 0.0
0.5220 0.7830 5 10 6500 0.9843 0.0538 0.0
0.7830 1.0440 5 10 6500 0.9861 0.0343 0.0
1.0440 1.3050 5 10 6500 0.9753 0.0048 0.0
1.3050 1.4790 5 10 6500 0.9738 0.0729 0.0
1.4790 1.6530 5 10 6500 0.9605 0.0854 0.0
1.6530 1.9300 5 10 6500 0.9610 0.0937 0.0
1.9300 2.1720 5 10 6500 0.9607 0.1308 0.0
2.1720 2.3220 5 10 6500 0.9334 0.0975 0.0
2.3220 2.5000 5 10 6500 0.9264 0.2021 0.0
2.5000 2.6500 5 10 6500 0.9422 0.6078 0.0
2.6500 2.8530 5 10 6500 0.9712 1.0850 0.0
2.8530 2.9640 5 10 6500 1.0227 1.7209 0.0
2.9640 3.1390 5 10 6500 0.9892 0.3622 0.0
3.1390 3.4890 5 10 6500 0.9999 0.2688 0.0
3.4890 3.8390 5 10 6500 0.9915 0.3800 0.0
3.8390 5.1910 5 10 6500 0.9454 0.5750 0.0
