{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 0.9517 0.6174 0.0
-3.8390 -3.4890 5 10 6500 0.9897 0.3452 0.0
-3.4890 -3.1390 5 10 6500 0.9991 0.2047 0.0
-3.1390 -2.9640 5 10 6500 0.9811 0.3812 0.0
-2.9640 -2.8530 5 10 6500 0.8996 0.5546 0.0
-2.8530 -2.6500 5 10 6500 0.8934 0.4352 0.0
-2.6500 -2.5000 5 10 6500 0.9063 0.3121 0.0
-2.5000 -2.3220 5 10 6500 0.9179 0.2024 0.0
-2.3220 -2.1720 5 10 6500 0.9341 0.1150 0.0
-2.1720 -1.9300 5 10 6500 0.9622 0.1467 0.0
-1.9300 -1.6530 5 10 6500 0.9635 0.1126 0.0
-1.6530 -1.4790 5 10 6500 0.9632 0.0885 0.0
-1.4790 -1.3050 5 10 6500 0.9768 0.0802 0.0
-1.3050 -1.0440 5 10 6500 0.9788 0.0181 0.0
-1.0440 -0.7830 5 10 6500 0.9880 0.0464 0.0
-0.7830 -0.5220 5 10 6500 0.9865 0.0677 0.0
-0.5220 -0.2610 5 10 6500 0.9874 0.0581 0.0
-0.2610 -0.0000 5 10 6500 0.9877 0.0645 0.0
0.0000 0.2610 5 10 6500 0.9877 0.0645 0.0
0.2610 0.5220 5 10 6500 0.9874 0.0581 0.0
0.5220 0.7830 5 10 6500 0.9865 0.0677 0.0
0.7830 1.0440 5 10 6500 0.9880 0.0464 0.0
1.0440 1.3050 5 10 6500 0.9788 0.0181 0.0
1.3050 1.4790 5 10 6500 0.9768 0.0802 0.0
1.4790 1.6530 5 10 6500 0.9632 0.0885 0.0
1.6530 1.9300 5 10 6500 0.9635 0.1126 0.0
1.9300 2.1720 5 10 6500 0.9622 0.1467 0.0
2.1720 2.3220 5 10 6500 0.9341 0.1150 0.0
2.3220 2.5000 5 10 6500 0.9179 0.2024 0.0
2.5000 2.6500 5 10 6500 0.9063 0.3121 0.0
2.6500 2.8530 5 10 6500 0.8934 0.4352 0.0
2.8530 2.9640 5 10 6500 0.8996 0.5546 0.0
2.9640 3.1390 5 10 6500 0.9811 0.3812 0.0
3.1390 3.4890 5 10 6500 0.9991 0.2047 0.0
3.4890 3.8390 5 10 6500 0.9897 0.3452 0.0
3.8390 5.1910 5 10 6500 0.9517 0.6174 0.0
