{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 0.9432 0.5319 0.0
-3.8390 -3.4890 5 10 6500 0.9896 0.2576 0.0
-3.4890 -3.1390 5 10 6500 1.0149 0.3277 0.0
-3.1390 -2.9640 5 10 6500 0.9899 0.4334 0.0
-2.9640 -2.8530 5 10 6500 0.9271 0.5797 0.0
-2.8530 -2.6500 5 10 6500 0.9075 0.4078 0.0
-2.6500 -2.5000 5 10 6500 0.9179 0.2535 0.0
-2.5000 -2.3220 5 10 6500 0.9251 0.1332 0.0
-2.3220 -2.1720 5 10 6500 0.9315 0.1475 0.0
-2.1720 -1.9300 5 10 6500 0.9604 0.1336 0.0
-1.9300 -1.6530 5 10 6500 0.9591 0.1003 0.0
-1.6530 -1.4790 5 10 6500 0.9582 0.0913 0.0
-1.4790 -1.3050 5 10 6500 0.9741 0.0908 0.0
-1.3050 -1.0440 5 10 6500 0.9743 0.0102 0.0
-1.0440 -0.7830 5 10 6500 0.9853 0.0324 0.0
-0.7830 -0.5220 5 10 6500 0.9832 0.0508 0.0
-0.5220 -0.2610 5 10 6500 0.9828 0.0464 0.0
-0.2610 -0.0000 5 10 6500 0.9844 0.0663 0.0
0.0000 0.2610 5 10 6500 0.9844 0.0663 0.0
0.2610 0.5220 5 10 6500 0.9828 0.0464 0.0
0.5220 0.7830 5 10 6500 0.9832 0.0508 0.0
0.7830 1.0440 5 10 6500 0.9853 0.0324 0.0
1.0440 1.3050 5 10 6500 0.9743 0.0102 0.0
1.3050 1.4790 5 10 6500 0.9741 0.0908 0.0
1.4790 1.6530 5 10 6500 0.9582 0.0913 0.0
1.6530 1.9300 5 10 6500 0.9591 0.1003 0.0
1.9300 2.1720 5 10 6500 0.9604 0.1336 0.0
2.1720 2.3220 5 10 6500 0.9315 0.1475 0.0
2.3220 2.5000 5 10 6500 0.9251 0.1332 0.0
2.5000 2.6500 5 10 6500 0.9179 0.2535 0.0
2.6500 2.8530 5 10 6500 0.9075 0.4078 0.0
2.8530 2.9640 5 10 6500 0.9271 0.5797 0.0
2.9640 3.1390 5 10 6500 0.9899 0.4334 0.0
3.1390 3.4890 5 10 6500 1.0149 0.3277 0.0
3.4890 3.8390 5 10 6500 0.9896 0.2576 0.0
3.8390 5.1910 5 10 6500 0.9432 0.5319 0.0
