{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 0.9670 0.8167 0.0
-3.8390 -3.4890 5 10 6500 0.9989 0.3361 0.0
-3.4890 -3.1390 5 10 6500 1.0267 0.1949 0.0
-3.1390 -2.9640 5 10 6500 1.0190 0.2222 0.0
-2.9640 -2.8530 5 10 6500 1.1531 0.6770 0.0
-2.8530 -2.6500 5 10 6500 1.1408 0.2388 0.0
-2.6500 -2.5000 5 10 6500 1.0529 0.2298 0.0
-2.5000 -2.3220 5 10 6500 0.9663 0.1165 0.0
-2.3220 -2.1720 5 10 6500 0.9500 0.0667 0.0
-2.1720 -1.9300 5 10 6500 0.9651 0.1207 0.0
-1.9300 -1.6530 5 10 6500 0.9687 0.0704 0.0
-1.6530 -1.4790 5 10 6500 0.9683 0.0562 0.0
-1.4790 -1.3050 5 10 6500 0.9752 0.0339 0.0
-1.3050 -1.0440 5 10 6500 0.9710 -0.0276 0.0
-1.0440 -0.7830 5 10 6500 0.9828 0.0064 0.0
-0.7830 -0.5220 5 10 6500 0.9791 0.0274 0.0
-0.5220 -0.2610 5 10 6500 0.9768 0.0283 0.0
-0.2610 -0.0000 5 10 6500 0.9773 0.0321 0.0
0.0000 0.2610 5 10 6500 0.9773 0.0321 0.0
0.2610 0.5220 5 10 6500 0.9768 0.0283 0.0
0.5220 0.7830 5 10 6500 0.9791 0.0274 0.0
0.7830 1.0440 5 10 6500 0.9828 0.0064 0.0
1.0440 1.3050 5 10 6500 0.9710 -0.0276 0.0
1.3050 1.4790 5 10 6500 0.9752 0.0339 0.0
1.4790 1.6530 5 10 6500 0.9683 0.0562 0.0
1.6530 1.9300 5 10 6500 0.9687 0.0704 0.0
1.9300 2.1720 5 10 6500 0.9651 0.1207 0.0
2.1720 2.3220 5 10 6500 0.9500 0.0667 0.0
2.3220 2.5000 5 10 6500 0.9663 0.1165 0.0
2.5000 2.6500 5 10 6500 1.0529 0.2298 0.0
2.6500 2.8530 5 10 6500 1.1408 0.2388 0.0
2.8530 2.9640 5 10 6500 1.1531 0.6770 0.0
2.9640 3.1390 5 10 6500 1.0190 0.2222 0.0
3.1390 3.4890 5 10 6500 1.0267 0.1949 0.0
3.4890 3.8390 5 10 6500 0.9989 0.3361 0.0
3.8390 5.1910 5 10 6500 0.9670 0.8167 0.0
