{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 0.9443 0.5662 0.0
-3.8390 -3.4890 5 10 6500 0.9900 0.3707 0.0
-3.4890 -3.1390 5 10 6500 0.9982 0.2654 0.0
-3.1390 -2.9640 5 10 6500 0.9910 0.3607 0.0
-2.9640 -2.8530 5 10 6500 1.0171 1.4154 0.0
-2.8530 -2.6500 5 10 6500 0.9563 0.6099 0.0
-2.6500 -2.5000 5 10 6500 0.9372 0.3925 0.0
-2.5000 -2.3220 5 10 6500 0.9261 0.1813 0.0
-2.3220 -2.1720 5 10 6500 0.9329 0.1077 0.0
-2.1720 -1.9300 5 10 6500 0.9605 0.1363 0.0
-1.9300 -1.6530 5 10 6500 0.9610 0.0939 0.0
-1.6530 -1.4790 5 10 6500 0.9606 0.0841 0.0
-1.4790 -1.3050 5 10 6500 0.9737 0.0716 0.0
-1.3050 -1.0440 5 10 6500 0.9752 0.0070 0.0
-1.0440 -0.7830 5 10 6500 0.9861 0.0344 0.0
-0.7830 -0.5220 5 10 6500 0.9844 0.0542 0.0
-0.5220 -0.2610 5 10 6500 0.9846 0.0533 0.0
-0.2610 -0.0000 5 10 6500 0.9851 0.0587 0.0
0.0000 0.2610 5 10 6500 0.9851 0.0587 0.0
0.2610 0.5220 5 10 6500 0.9846 0.0533 0.0
0.5220 0.7830 5 10 6500 0.9844 0.0542 0.0
0.7830 1.0440 5 10 6500 0.9861 0.0344 0.0
1.0440 1.3050 5 10 6500 0.9752 0.0070 0.0
1.3050 1.4790 5 10 6500 0.9737 0.0716 0.0
1.4790 1.6530 5 10 6500 0.9606 0.0841 0.0
1.6530 1.9300 5 10 6500 0.9610 0.0939 0.0
1.9300 2.1720 5 10 6500 0.9605 0.1363 0.0
2.1720 2.3220 5 10 6500 0.9329 0.1077 0.0
2.3220 2.5000 5 10 6500 0.9261 0.1813 0.0
2.5000 2.6500 5 10 6500 0.9372 0.3925 0.0
2.6500 2.8530 5 10 6500 0.9563 0.6099 0.0
2.8530 2.9640 5 10 6500 1.0171 1.4154 0.0
2.9640 3.1390 5 10 6500 0.9910 0.3607 0.0
3.1390 3.4890 5 10 6500 0.9982 0.2654 0.0
3.4890 3.8390 5 10 6500 0.9900 0.3707 0.0
3.8390 5.1910 5 10 6500 0.9443 0.5662 0.0
