{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 0.8879 0.1626 0.0
-3.8390 -3.4890 5 10 6500 0.9564 0.1470 0.0
-3.4890 -3.1390 5 10 6500 0.9585 0.0352 0.0
-3.1390 -2.9640 5 10 6500 0.9533 0.1634 0.0
-2.9640 -2.8530 5 10 6500 0.8976 -0.1011 0.0
-2.8530 -2.6500 5 10 6500 0.8922 0.1401 0.0
-2.6500 -2.5000 5 10 6500 0.9026 0.1542 0.0
-2.5000 -2.3220 5 10 6500 0.9138 0.1152 0.0
-2.3220 -2.1720 5 10 6500 0.9266 0.1077 0.0
-2.1720 -1.9300 5 10 6500 0.9566 0.1210 0.0
-1.9300 -1.6530 5 10 6500 0.9572 0.0967 0.0
-1.6530 -1.4790 5 10 6500 0.9569 0.0877 0.0
-1.4790 -1.3050 5 10 6500 0.9719 0.0895 0.0
-1.3050 -1.0440 5 10 6500 0.9750 0.0331 0.0
-1.0440 -0.7830 5 10 6500 0.9849 0.0383 0.0
-0.7830 -0.5220 5 10 6500 0.9835 0.0583 0.0
-0.5220 -0.2610 5 10 6500 0.9838 0.0414 0.0
-0.2610 -0.0000 5 10 6500 0.9846 0.0574 0.0
0.0000 0.2610 5 10 6500 0.9846 0.0574 0.0
0.2610 0.5220 5 10 6500 0.9838 0.0414 0.0
0.5220 0.7830 5 10 6500 0.9835 0.0583 0.0
0.7830 1.0440 5 10 6500 0.9849 0.0383 0.0
1.0440 1.3050 5 10 6500 0.9750 0.0331 0.0
1.3050 1.4790 5 10 6500 0.9719 0.0895 0.0
1.4790 1.6530 5 10 6500 0.9569 0.0877 0.0
1.6530 1.9300 5 10 6500 0.9572 0.0967 0.0
1.9300 2.1720 5 10 6500 0.9566 0.1210 0.0
2.1720 2.3220 5 10 6500 0.9266 0.1077 0.0
2.3220 2.5000 5 10 6500 0.9138 0.1152 0.0
2.5000 2.6500 5 10 6500 0.9026 0.1542 0.0
2.6500 2.8530 5 10 6500 0.8922 0.1401 0.0
2.8530 2.9640 5 10 6500 0.8976 -0.1011 0.0
2.9640 3.1390 5 10 6500 0.9533 0.1634 0.0
3.1390 3.4890 5 10 6500 0.9585 0.0352 0.0
3.4890 3.8390 5 10 6500 0.9564 0.1470 0.0
3.8390 5.1910 5 10 6500 0.8879 0.1626 0.0
