{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 0.8810 0.1474 0.0
-3.8390 -3.4890 5 10 6500 0.9432 0.1077 0.0
-3.4890 -3.1390 5 10 6500 0.9843 0.1903 0.0
-3.1390 -2.9640 5 10 6500 0.9786 0.1094 0.0
-2.9640 -2.8530 5 10 6500 1.0804 0.0039 0.0
-2.8530 -2.6500 5 10 6500 1.0725 0.1466 0.0
-2.6500 -2.5000 5 10 6500 1.0047 0.2612 0.0
-2.5000 -2.3220 5 10 6500 0.9365 0.1123 0.0
-2.3220 -2.1720 5 10 6500 0.9277 0.0537 0.0
-2.1720 -1.9300 5 10 6500 0.9431 0.1055 0.0
-1.9300 -1.6530 5 10 6500 0.9462 0.0973 0.0
-1.6530 -1.4790 5 10 6500 0.9459 0.0600 0.0
-1.4790 -1.3050 5 10 6500 0.9596 0.0520 0.0
-1.3050 -1.0440 5 10 6500 0.9632 -0.0019 0.0
-1.0440 -0.7830 5 10 6500 0.9760 0.0218 0.0
-0.7830 -0.5220 5 10 6500 0.9770 0.0414 0.0
-0.5220 -0.2610 5 10 6500 0.9741 0.0237 0.0
-0.2610 -0.0000 5 10 6500 0.9761 0.0466 0.0
0.0000 0.2610 5 10 6500 0.9761 0.0466 0.0
0.2610 0.5220 5 10 6500 0.9741 0.0237 0.0
0.5220 0.7830 5 10 6500 0.9770 0.0414 0.0
0.7830 1.0440 5 10 6500 0.9760 0.0218 0.0
1.0440 1.3050 5 10 6500 0.9632 -0.0019 0.0
1.3050 1.4790 5 10 6500 0.9596 0.0520 0.0
1.4790 1.6530 5 10 6500 0.9459 0.0600 0.0
1.6530 1.9300 5 10 6500 0.9462 0.0973 0.0
1.9300 2.1720 5 10 6500 0.9431 0.1055 0.0
2.1720 2.3220 5 10 6500 0.9277 0.0537 0.0
2.3220 2.5000 5 10 6500 0.9365 0.1123 0.0
2.5000 2.6500 5 10 6500 1.0047 0.2612 0.0
2.6500 2.8530 5 10 6500 1.0725 0.1466 0.0
2.8530 2.9640 5 10 6500 1.0804 0.0039 0.0
2.9640 3.1390 5 10 6500 0.9786 0.1094 0.0
3.1390 3.4890 5 10 6500 0.9843 0.1903 0.0
3.4890 3.8390 5 10 6500 0.9432 0.1077 0.0
3.8390 5.1910 5 10 6500 0.8810 0.1474 0.0
