{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 0.9746 0.8942 0.0
-3.8390 -3.4890 5 10 6500 1.0021 0.3959 0.0
-3.4890 -3.1390 5 10 6500 1.0304 0.2542 0.0
-3.1390 -2.9640 5 10 6500 1.0156 0.3412 0.0
-2.9640 -2.8530 5 10 6500 1.0344 0.9754 0.0
-2.8530 -2.6500 5 10 6500 1.0384 0.6515 0.0
-2.6500 -2.5000 5 10 6500 0.9843 0.3615 0.0
-2.5000 -2.3220 5 10 6500 0.9449 0.1516 0.0
-2.3220 -2.1720 5 10 6500 0.9448 0.0851 0.0
-2.1720 -1.9300 5 10 6500 0.9651 0.1211 0.0
-1.9300 -1.6530 5 10 6500 0.9687 0.0770 0.0
-1.6530 -1.4790 5 10 6500 0.9677 0.0672 0.0
-1.4790 -1.3050 5 10 6500 0.9771 0.0539 0.0
-1.3050 -1.0440 5 10 6500 0.9754 -0.0161 0.0
-1.0440 -0.7830 5 10 6500 0.9861 0.0201 0.0
-0.7830 -0.5220 5 10 6500 0.9837 0.0369 0.0
-0.5220 -0.2610 5 10 6500 0.9810 0.0392 0.0
-0.2610 -0.0000 5 10 6500 0.9822 0.0435 0.0
0.0000 0.2610 5 10 6500 0.9822 0.0435 0.0
0.2610 0.5220 5 10 6500 0.9810 0.0392 0.0
0.5220 0.7830 5 10 6500 0.9837 0.0369 0.0
0.7830 1.0440 5 10 6500 0.9861 0.0201 0.0
1.0440 1.3050 5 10 6500 0.9754 -0.0161 0.0
1.3050 1.4790 5 10 6500 0.9771 0.0539 0.0
1.4790 1.6530 5 10 6500 0.9677 0.0672 0.0
1.6530 1.9300 5 10 6500 0.9687 0.0770 0.0
1.9300 2.1720 5 10 6500 0.9651 0.1211 0.0
2.1720 2.3220 5 10 6500 0.9448 0.0851 0.0
2.3220 2.5000 5 10 6500 0.9449 0.1516 0.0
2.5000 2.6500 5 10 6500 0.9843 0.3615 0.0
2.6500 2.8530 5 10 6500 1.0384 0.6515 0.0
2.8530 2.9640 5 10 6500 1.0344 0.9754 0.0
2.9640 3.1390 5 10 6500 1.0156 0.3412 0.0
3.1390 3.4890 5 10 6500 1.0304 0.2542 0.0
3.4890 3.8390 5 10 6500 1.0021 0.3959 0.0
3.8390 5.1910 5 10 6500 0.9746 0.8942 0.0
