{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 0.9793 0.9096 0.0
-3.8390 -3.4890 5 10 6500 1.0067 0.4085 0.0
-3.4890 -3.1390 5 10 6500 1.0352 0.2678 0.0
-3.1390 -2.9640 5 10 6500 1.0204 0.3561 0.0
-2.9640 -2.8530 5 10 6500 1.0394 0.9938 0.0
-2.8530 -2.6500 5 10 6500 1.0433 0.6699 0.0
-2.6500 -2.5000 5 10 6500 0.9890 0.3780 0.0
-2.5000 -2.3220 5 10 6500 0.9494 0.1664 0.0
-2.3220 -2.1720 5 10 6500 0.9493 0.0992 0.0
-2.1720 -1.9300 5 10 6500 0.9698 0.1354 0.0
-1.9300 -1.6530 5 10 6500 0.9733 0.0907 0.0
-1.6530 -1.4790 5 10 6500 0.9723 0.0809 0.0
-1.4790 -1.3050 5 10 6500 0.9818 0.0677 0.0
-1.3050 -1.0440 5 10 6500 0.9800 -0.0028 0.0
-1.0440 -0.7830 5 10 6500 0.9908 0.0337 0.0
-0.7830 -0.5220 5 10 6500 0.9884 0.0507 0.0
-0.5220 -0.2610 5 10 6500 0.9857 0.0532 0.0
-0.2610 -0.0000 5 10 6500 0.9869 0.0573 0.0
0.0000 0.2610 5 10 6500 0.9869 0.0573 0.0
0.2610 0.5220 5 10 6500 0.9857 0.0532 0.0
0.5220 0.7830 5 10 6500 0.9884 0.0507 0.0
0.7830 1.0440 5 10 6500 0.9908 0.0337 0.0
1.0440 1.3050 5 10 6500 0.9800 -0.0028 0.0
1.3050 1.4790 5 10 6500 0.9818 0.0677 0.0
1.4790 1.6530 5 10 6500 0.9723 0.0809 0.0
1.6530 1.9300 5 10 6500 0.9733 0.0907 0.0
1.9300 2.1720 5 10 6500 0.9698 0.1354 0.0
2.1720 2.3220 5 10 6500 0.9493 0.0992 0.0
2.3220 2.5000 5 10 6500 0.9494 0.1664 0.0
2.5000 2.6500 5 10 6500 0.9890 0.3780 0.0
2.6500 2.8530 5 10 6500 1.0433 0.6699 0.0
2.8530 2.9640 5 10 6500 1.0394 0.9938 0.0
2.9640 3.1390 5 10 6500 1.0204 0.3561 0.0
3.1390 3.4890 5 10 6500 1.0352 0.2678 0.0
3.4890 3.8390 5 10 6500 1.0067 0.4085 0.0
3.8390 5.1910 5 10 6500 0.9793 0.9096 0.0
