{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 0.9979 1.1306 0.0
-3.8390 -3.4890 5 10 6500 1.0025 0.3478 0.0
-3.4890 -3.1390 5 10 6500 1.0352 0.2271 0.0
-3.1390 -2.9640 5 10 6500 1.0124 0.4122 0.0
-2.9640 -2.8530 5 10 6500 0.8452 -0.0596 0.0
-2.8530 -2.6500 5 10 6500 0.8545 0.1639 0.0
-2.6500 -2.5000 5 10 6500 0.8962 0.1729 0.0
-2.5000 -2.3220 5 10 6500 0.9234 0.1785 0.0
-2.3220 -2.1720 5 10 6500 0.9412 0.1193 0.0
-2.1720 -1.9300 5 10 6500 0.9667 0.1473 0.0
-1.9300 -1.6530 5 10 6500 0.9693 0.1121 0.0
-1.6530 -1.4790 5 10 6500 0.9701 0.0846 0.0
-1.4790 -1.3050 5 10 6500 0.9829 0.0765 0.0
-1.3050 -1.0440 5 10 6500 0.9839 0.0145 0.0
-1.0440 -0.7830 5 10 6500 0.9929 0.0489 0.0
-0.7830 -0.5220 5 10 6500 0.9911 0.0662 0.0
-0.5220 -0.2610 5 10 6500 0.9884 0.0628 0.0
-0.2610 -0.0000 5 10 6500 0.9900 0.0659 0.0
0.0000 0.2610 5 10 6500 0.9900 0.0659 0.0
0.2610 0.5220 5 10 6500 0.9884 0.0628 0.0
0.5220 0.7830 5 10 6500 0.9911 0.0662 0.0
0.7830 1.0440 5 10 6500 0.9929 0.0489 0.0
1.0440 1.3050 5 10 6500 0.9839 0.0145 0.0
1.3050 1.4790 5 10 6500 0.9829 0.0765 0.0
1.4790 1.6530 5 10 6500 0.9701 0.0846 0.0
1.6530 1.9300 5 10 6500 0.9693 0.1121 0.0
1.9300 2.1720 5 10 6500 0.9667 0.1473 0.0
2.1720 2.3220 5 10 6500 0.9412 0.1193 0.0
2.3220 2.5000 5 10 6500 0.9234 0.1785 0.0
2.5000 2.6500 5 10 6500 0.8962 0.1729 0.0
2.6500 2.8530 5 10 6500 0.8545 0.1639 0.0
2.8530 2.9640 5 10 6500 0.8452 -0.0596 0.0
2.9640 3.1390 5 10 6500 1.0124 0.4122 0.0
3.1390 3.4890 5 10 6500 1.0352 0.2271 0.0
3.4890 3.8390 5 10 6500 1.0025 0.3478 0.0
3.8390 5.1910 5 10 6500 0.9979 1.1306 0.0
