{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 1.0118 1.1646 0.0
-3.8390 -3.4890 5 10 6500 1.0047 0.2938 0.0
-3.4890 -3.1390 5 10 6500 1.0483 0.2840 0.0
-3.1390 -2.9640 5 10 6500 1.0198 0.3911 0.0
-2.9640 -2.8530 5 10 6500 0.8800 -0.0380 0.0
-2.8530 -2.6500 5 10 6500 0.8798 0.0952 0.0
-2.6500 -2.5000 5 10 6500 0.9145 0.0669 0.0
-2.5000 -2.3220 5 10 6500 0.9295 0.1292 0.0
-2.3220 -2.1720 5 10 6500 0.9430 0.1316 0.0
-2.1720 -1.9300 5 10 6500 0.9688 0.1396 0.0
-1.9300 -1.6530 5 10 6500 0.9699 0.0915 0.0
-1.6530 -1.4790 5 10 6500 0.9694 0.0801 0.0
-1.4790 -1.3050 5 10 6500 0.9787 0.0870 0.0
-1.3050 -1.0440 5 10 6500 0.9786 0.0050 0.0
-1.0440 -0.7830 5 10 6500 0.9897 0.0272 0.0
-0.7830 -0.5220 5 10 6500 0.9877 0.0444 0.0
-0.5220 -0.2610 5 10 6500 0.9836 0.0600 0.0
-0.2610 -0.0000 5 10 6500 0.9842 0.0746 0.0
0.0000 0.2610 5 10 6500 0.9842 0.0746 0.0
0.2610 0.5220 5 10 6500 0.9836 0.0600 0.0
0.5220 0.7830 5 10 6500 0.9877 0.0444 0.0
0.7830 1.0440 5 10 6500 0.9897 0.0272 0.0
1.0440 1.3050 5 10 6500 0.9786 0.0050 0.0
1.3050 1.4790 5 10 6500 0.9787 0.0870 0.0
1.4790 1.6530 5 10 6500 0.9694 0.0801 0.0
1.6530 1.9300 5 10 6500 0.9699 0.0915 0.0
1.9300 2.1720 5 10 6500 0.9688 0.1396 0.0
2.1720 2.3220 5 10 6500 0.9430 0.1316 0.0
2.3220 2.5000 5 10 6500 0.9295 0.1292 0.0
2.5000 2.6500 5 10 6500 0.9145 0.0669 0.0
2.6500 2.8530 5 10 6500 0.8798 0.0952 0.0
2.8530 2.9640 5 10 6500 0.8800 -0.0380 0.0
2.9640 3.1390 5 10 6500 1.0198 0.3911 0.0
3.1390 3.4890 5 10 6500 1.0483 0.2840 0.0
3.4890 3.8390 5 10 6500 1.0047 0.2938 0.0
3.8390 5.1910 5 10 6500 1.0118 1.1646 0.0
