{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 0.9342 0.5013 0.0
-3.8390 -3.4890 5 10 6500 0.9820 0.3428 0.0
-3.4890 -3.1390 5 10 6500 0.9991 0.2562 0.0
-3.1390 -2.9640 5 10 6500 0.9946 0.3370 0.0
-2.9640 -2.8530 5 10 6500 1.0455 0.8365 0.0
-2.8530 -2.6500 5 10 6500 1.0204 0.5212 0.0
-2.6500 -2.5000 5 10 6500 0.9692 0.3273 0.0
-2.5000 -2.3220 5 10 6500 0.9329 0.1498 0.0
-2.3220 -2.1720 5 10 6500 0.9327 0.0912 0.0
-2.1720 -1.9300 5 10 6500 0.9542 0.1231 0.0
-1.9300 -1.6530 5 10 6500 0.9554 0.0823 0.0
-1.6530 -1.4790 5 10 6500 0.9552 0.0695 0.0
-1.4790 -1.3050 5 10 6500 0.9682 0.0572 0.0
-1.3050 -1.0440 5 10 6500 0.9697 -0.0099 0.0
-1.0440 -0.7830 5 10 6500 0.9816 0.0224 0.0
-0.7830 -0.5220 5 10 6500 0.9809 0.0386 0.0
-0.5220 -0.2610 5 10 6500 0.9797 0.0378 0.0
-0.2610 -0.0000 5 10 6500 0.9805 0.0448 0.0
0.0000 0.2610 5 10 6500 0.9805 0.0448 0.0
0.2610 0.5220 5 10 6500 0.9797 0.0378 0.0
0.5220 0.7830 5 10 6500 0.9809 0.0386 0.0
0.7830 1.0440 5 10 6500 0.9816 0.0224 0.0
1.0440 1.3050 5 10 6500 0.9697 -0.0099 0.0
1.3050 1.4790 5 10 6500 0.9682 0.0572 0.0
1.4790 1.6530 5 10 6500 0.9552 0.0695 0.0
1.6530 1.9300 5 10 6500 0.9554 0.0823 0.0
1.9300 2.1720 5 10 6500 0.9542 0.1231 0.0
2.1720 2.3220 5 10 6500 0.9327 0.0912 0.0
2.3220 2.5000 5 10 6500 0.9329 0.1498 0.0
2.5000 2.6500 5 10 6500 0.9692 0.3273 0.0
2.6500 2.8530 5 10 6500 1.0204 0.5212 0.0
2.8530 2.9640 5 10 6500 1.0455 0.8365 0.0
2.9640 3.1390 5 10 6500 0.9946 0.3370 0.0
3.1390 3.4890 5 10 6500 0.9991 0.2562 0.0
3.4890 3.8390 5 10 6500 0.9820 0.3428 0.0
3.8390 5.1910 5 10 6500 0.9342 0.5013 0.0
