{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 0.9531 0.6193 0.0
-3.8390 -3.4890 5 10 6500 0.9897 0.3416 0.0
-3.4890 -3.1390 5 10 6500 0.9986 0.2010 0.0
-3.1390 -2.9640 5 10 6500 0.9905 0.3877 0.0
-2.9640 -2.8530 5 10 6500 0.8635 -0.1003 0.0
-2.8530 -2.6500 5 10 6500 0.8765 0.1228 0.0
-2.6500 -2.5000 5 10 6500 0.8984 0.1681 0.0
-2.5000 -2.3220 5 10 6500 0.9167 0.1825 0.0
-2.3220 -2.1720 5 10 6500 0.9337 0.1215 0.0
-2.1720 -1.9300 5 10 6500 0.9619 0.1510 0.0
-1.9300 -1.6530 5 10 6500 0.9634 0.1134 0.0
-1.6530 -1.4790 5 10 6500 0.9633 0.0872 0.0
-1.4790 -1.3050 5 10 6500 0.9767 0.0779 0.0
-1.3050 -1.0440 5 10 6500 0.9784 0.0189 0.0
-1.0440 -0.7830 5 10 6500 0.9879 0.0488 0.0
-0.7830 -0.5220 5 10 6500 0.9866 0.0658 0.0
-0.5220 -0.2610 5 10 6500 0.9876 0.0626 0.0
-0.2610 -0.0000 5 10 6500 0.9878 0.0641 0.0
0.0000 0.2610 5 10 6500 0.9878 0.0641 0.0
0.2610 0.5220 5 10 6500 0.9876 0.0626 0.0
0.5220 0.7830 5 10 6500 0.9866 0.0658 0.0
0.7830 1.0440 5 10 6500 0.9879 0.0488 0.0
1.0440 1.3050 5 10 6500 0.9784 0.0189 0.0
1.3050 1.4790 5 10 6500 0.9767 0.0779 0.0
1.4790 1.6530 5 10 6500 0.9633 0.0872 0.0
1.6530 1.9300 5 10 6500 0.9634 0.1134 0.0
1.9300 2.1720 5 10 6500 0.9619 0.1510 0.0
2.1720 2.3220 5 10 6500 0.9337 0.1215 0.0
2.3220 2.5000 5 10 6500 0.9167 0.1825 0.0
2.5000 2.6500 5 10 6500 0.8984 0.1681 0.0
2.6500 2.8530 5 10 6500 0.8765 0.1228 0.0
2.8530 2.9640 5 10 6500 0.8635 -0.1003 0.0
2.9640 3.1390 5 10 6500 0.9905 0.3877 0.0
3.1390 3.4890 5 10 6500 0.9986 0.2010 0.0
3.4890 3.8390 5 10 6500 0.9897 0.3416 0.0
3.8390 5.1910 5 10 6500 0.9531 0.6193 0.0
