{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 0.9279 0.4509 0.0
-3.8390 -3.4890 5 10 6500 0.9792 0.3176 0.0
-3.4890 -3.1390 5 10 6500 1.0019 0.2227 0.0
-3.1390 -2.9640 5 10 6500 1.0020 0.2357 0.0
-2.9640 -2.8530 5 10 6500 1.1247 0.1274 0.0
-2.8530 -2.6500 5 10 6500 1.1005 0.2726 0.0
-2.6500 -2.5000 5 10 6500 1.0197 0.2537 0.0
-2.5000 -2.3220 5 10 6500 0.9454 0.1201 0.0
-2.3220 -2.1720 5 10 6500 0.9347 0.0735 0.0
-2.1720 -1.9300 5 10 6500 0.9493 0.1237 0.0
-1.9300 -1.6530 5 10 6500 0.9509 0.0791 0.0
-1.6530 -1.4790 5 10 6500 0.9515 0.0620 0.0
-1.4790 -1.3050 5 10 6500 0.9630 0.0404 0.0
-1.3050 -1.0440 5 10 6500 0.9642 -0.0228 0.0
-1.0440 -0.7830 5 10 6500 0.9772 0.0122 0.0
-0.7830 -0.5220 5 10 6500 0.9771 0.0292 0.0
-0.5220 -0.2610 5 10 6500 0.9748 0.0259 0.0
-0.2610 -0.0000 5 10 6500 0.9760 0.0350 0.0
0.0000 0.2610 5 10 6500 0.9760 0.0350 0.0
0.2610 0.5220 5 10 6500 0.9748 0.0259 0.0
0.5220 0.7830 5 10 6500 0.9771 0.0292 0.0
0.7830 1.0440 5 10 6500 0.9772 0.0122 0.0
1.0440 1.3050 5 10 6500 0.9642 -0.0228 0.0
1.3050 1.4790 5 10 6500 0.9630 0.0404 0.0
1.4790 1.6530 5 10 6500 0.9515 0.0620 0.0
1.6530 1.9300 5 10 6500 0.9509 0.0791 0.0
1.9300 2.1720 5 10 6500 0.9493 0.1237 0.0
2.1720 2.3220 5 10 6500 0.9347 0.0735 0.0
2.3220 2.5000 5 10 6500 0.9454 0.1201 0.0
2.5000 2.6500 5 10 6500 1.0197 0.2537 0.0
2.6500 2.8530 5 10 6500 1.1005 0.2726 0.0
2.8530 2.9640 5 10 6500 1.1247 0.1274 0.0
2.9640 3.1390 5 10 6500 1.0020 0.2357 0.0
3.1390 3.4890 5 10 6500 1.0019 0.2227 0.0
3.4890 3.8390 5 10 6500 0.9792 0.3176 0.0
3.8390 5.1910 5 10 6500 0.9279 0.4509 0.0
