{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 0.8836 0.1479 0.0
-3.8390 -3.4890 5 10 6500 0.9487 0.1224 0.0
-3.4890 -3.1390 5 10 6500 0.9740 0.1344 0.0
-3.1390 -2.9640 5 10 6500 0.9677 0.1467 0.0
-2.9640 -2.8530 5 10 6500 0.9941 -0.0853 0.0
-2.8530 -2.6500 5 10 6500 0.9899 0.1441 0.0
-2.6500 -2.5000 5 10 6500 0.9547 0.1819 0.0
-2.5000 -2.3220 5 10 6500 0.9267 0.1148 0.0
-2.3220 -2.1720 5 10 6500 0.9285 0.0913 0.0
-2.1720 -1.9300 5 10 6500 0.9504 0.1171 0.0
-1.9300 -1.6530 5 10 6500 0.9522 0.1001 0.0
-1.6530 -1.4790 5 10 6500 0.9511 0.0653 0.0
-1.4790 -1.3050 5 10 6500 0.9658 0.0654 0.0
-1.3050 -1.0440 5 10 6500 0.9691 0.0111 0.0
-1.0440 -0.7830 5 10 6500 0.9806 0.0286 0.0
-0.7830 -0.5220 5 10 6500 0.9803 0.0440 0.0
-0.5220 -0.2610 5 10 6500 0.9790 0.0311 0.0
-0.2610 -0.0000 5 10 6500 0.9802 0.0491 0.0
0.0000 0.2610 5 10 6500 0.9802 0.0491 0.0
0.2610 0.5220 5 10 6500 0.9790 0.0311 0.0
0.5220 0.7830 5 10 6500 0.9803 0.0440 0.0
0.7830 1.0440 5 10 6500 0.9806 0.0286 0.0
1.0440 1.3050 5 10 6500 0.9691 0.0111 0.0
1.3050 1.4790 5 10 6500 0.9658 0.0654 0.0
1.4790 1.6530 5 10 6500 0.9511 0.0653 0.0
1.6530 1.9300 5 10 6500 0.9522 0.1001 0.0
1.9300 2.1720 5 10 6500 0.9504 0.1171 0.0
2.1720 2.3220 5 10 6500 0.9285 0.0913 0.0
2.3220 2.5000 5 10 6500 0.9267 0.1148 0.0
2.5000 2.6500 5 10 6500 0.9547 0.1819 0.0
2.6500 2.8530 5 10 6500 0.9899 0.1441 0.0
2.8530 2.9640 5 10 6500 0.9941 -0.0853 0.0
2.9640 3.1390 5 10 6500 0.9677 0.1467 0.0
3.1390 3.4890 5 10 6500 0.9740 0.1344 0.0
3.4890 3.8390 5 10 6500 0.9487 0.1224 0.0
3.8390 5.1910 5 10 6500 0.8836 0.1479 0.0
