{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 0.8939 0.1916 0.0
-3.8390 -3.4890 5 10 6500 0.9589 0.1659 0.0
-3.4890 -3.1390 5 10 6500 0.9551 -0.0351 0.0
-3.1390 -2.9640 5 10 6500 0.9467 0.0297 0.0
-2.9640 -2.8530 5 10 6500 0.8889 -0.1349 0.0
-2.8530 -2.6500 5 10 6500 0.8865 0.0988 0.0
-2.6500 -2.5000 5 10 6500 0.8992 0.1620 0.0
-2.5000 -2.3220 5 10 6500 0.9133 0.1729 0.0
-2.3220 -2.1720 5 10 6500 0.9294 0.1001 0.0
-2.1720 -1.9300 5 10 6500 0.9605 0.1569 0.0
-1.9300 -1.6530 5 10 6500 0.9612 0.1076 0.0
-1.6530 -1.4790 5 10 6500 0.9607 0.0851 0.0
-1.4790 -1.3050 5 10 6500 0.9743 0.0711 0.0
-1.3050 -1.0440 5 10 6500 0.9771 0.0258 0.0
-1.0440 -0.7830 5 10 6500 0.9860 0.0410 0.0
-0.7830 -0.5220 5 10 6500 0.9849 0.0588 0.0
-0.5220 -0.2610 5 10 6500 0.9873 0.0610 0.0
-0.2610 -0.0000 5 10 6500 0.9867 0.0553 0.0
0.0000 0.2610 5 10 6500 0.9867 0.0553 0.0
0.2610 0.5220 5 10 6500 0.9873 0.0610 0.0
0.5220 0.7830 5 10 6500 0.9849 0.0588 0.0
0.7830 1.0440 5 10 6500 0.9860 0.0410 0.0
1.0440 1.3050 5 10 6500 0.9771 0.0258 0.0
1.3050 1.4790 5 10 6500 0.9743 0.0711 0.0
1.4790 1.6530 5 10 6500 0.9607 0.0851 0.0
1.6530 1.9300 5 10 6500 0.9612 0.1076 0.0
1.9300 2.1720 5 10 6500 0.9605 0.1569 0.0
2.1720 2.3220 5 10 6500 0.9294 0.1001 0.0
2.3220 2.5000 5 10 6500 0.9133 0.1729 0.0
2.5000 2.6500 5 10 6500 0.8992 0.1620 0.0
2.6500 2.8530 5 10 6500 0.8865 0.0988 0.0
2.8530 2.9640 5 10 6500 0.8889 -0.1349 0.0
2.9640 3.1390 5 10 6500 0.9467 0.0297 0.0
3.1390 3.4890 5 10 6500 0.9551 -0.0351 0.0
3.4890 3.8390 5 10 6500 0.9589 0.1659 0.0
3.8390 5.1910 5 10 6500 0.8939 0.1916 0.0
