{1 JetEta 3 Rho JetPt JetA max(0.0001,1-(z/y)*[4]*([1]*(x/[3]-[0])*(1.+[2]*log(y/15.)))) Correction L1FastJet}
  -5.191  -4.889       11      0          70       8        6500       0          10      1.171075506     0.7774162002    0.08658123599	     1.0286726494    0.91076014845
  -4.889  -4.716       11      0          70       8        6500       0          10      1.658628393     0.7141811716    0.06548555271	     1.0286726494    0.88647541848
  -4.716  -4.538       11      0          70       8        6500       0          10      1.367400906      0.690540195    0.09482778235	     1.0286726494    0.87584048213
  -4.538  -4.363       11      0          70       8        6500       0          10      1.459379976     0.8738552516    0.03635521856	     1.0286726494    0.87405913917
  -4.363  -4.191       11      0          70       8        6500       0          10      1.398998941     0.9686866797    0.03471049279	     1.0286726494    0.89488100676
  -4.191  -4.013       11      0          70       8        6500       0          10      1.401364637      1.028996754    0.03918385688	     1.0286726494    0.93010943117
  -4.013  -3.839       11      0          70       8        6500       0          10      1.362692032      1.044037937    0.03953567226	     1.0286726494    0.98026086677
  -3.839  -3.664       11      0          70       8        6500       0          10      1.381712597      1.026167324    0.03704208755	     1.0286726494    1.0560726011
  -3.664  -3.489       11      0          70       8        6500       0          10      1.376456956     0.9972067343    0.03755507784	     1.0286726494    1.1327609664
  -3.489  -3.314       11      0          70       8        6500       0          10      1.376511934     0.9044121056    0.04205086593	     1.0286726494    1.2090186674
  -3.314  -3.139       11      0          70       8        6500       0          10      1.299677489     0.7902165842    0.04951469144	     1.0286726494    1.2622808366
  -3.139  -2.964       11      0          70       8        6500       0          10      1.445831734     0.8933239534    0.03906910639	     1.0286726494    1.1835639207
  -2.964  -2.853       11      0          70       8        6500       0          10      2.007653333      0.899709372    0.02115137555	     1.0286726494    1.1032807317
  -2.853   -2.65       11      0          70       8        6500       0          10      2.135681121     0.9322818986  -0.002731184759	     1.0286726494    1.0284285863
   -2.65    -2.5       11      0          70       8        6500       0          10      1.186661143     0.7641875428    0.03902853736	     1.0286726494    0.95765686806
    -2.5  -2.322       11      0          70       8        6500       0          10     0.5450142247     0.4523157281    -0.1335774401	     1.0286726494    0.94577517904
  -2.322  -2.172       11      0          70       8        6500       0          10      2.237344326     0.3766543025    -0.5144468863	     1.0286726494    0.97654515248
  -2.172  -2.043       11      0          70       8        6500       0          10      2.981574094     0.3237761646    -0.6112957709	     1.0286726494    1.0042394781
  -2.043   -1.93       11      0          70       8        6500       0          10      3.295952409     0.3186260939    -0.5942813709	     1.0286726494    1.0154363731
   -1.93   -1.83       11      0          70       8        6500       0          10      2.851183441      0.342598655    -0.4914666429	     1.0286726494    1.0145480416
   -1.83   -1.74       11      0          70       8        6500       0          10      2.843391464     0.3817412129    -0.4091235449	     1.0286726494    1.0079448219
   -1.74  -1.653       11      0          70       8        6500       0          10      2.292166957     0.4100138985    -0.3482645998	     1.0286726494    1.0143212866
  -1.653  -1.566       11      0          70       8        6500       0          10      2.149291227      0.449018159    -0.3027047756	     1.0286726494    1.0149949703
