{1         JetEta              1          JetPt               [0]-TMath::Abs([1])*TMath::ATan(log10(x/[2]))     Correction     L2Relative}
-5             -4              5              4        128.166        1.00188              0        128.166              
-4           -3.5              5              4        211.189        1.01635              0        211.189              
-3.5             -3              5              4        347.648        1.00132              0        347.648              
-3           -2.7              5              4        468.323       0.929251              0        468.323              
-2.7           -2.4              5              4        629.842       0.920582              0        629.842              
-2.4           -2.1              5              4        844.531       0.975518              0        844.531              
-2.1           -1.8              5              4        1126.32       0.990386              0        1126.32              
-1.8           -1.5              5              4        1487.84        1.00025              0        1487.84              
-1.5           -1.3              5              4        1775.83        1.02327              0        1775.83              
-1.3           -1.1              5              4        2097.67        1.00587              0        2097.67              
-1.1           -0.9              5              4        2442.28        1.01093              0        2442.28              
-0.9           -0.6              5              4        2952.43        1.00163              0        2952.43              
-0.6           -0.3              5              4         3348.2       0.997198              0         3348.2              
-0.3              0              5              4           3500       0.995889              0           3500              
0            0.3              5              4           3500       0.995889              0           3500              
0.3            0.6              5              4         3348.2       0.997198              0         3348.2              
0.6            0.9              5              4        2952.43        1.00163              0        2952.43              
0.9            1.1              5              4        2442.28        1.01093              0        2442.28              
1.1            1.3              5              4        2097.67        1.00587              0        2097.67              
1.3            1.5              5              4        1775.83        1.02327              0        1775.83              
1.5            1.8              5              4        1487.84        1.00025              0        1487.84              
1.8            2.1              5              4        1126.32       0.990386              0        1126.32              
2.1            2.4              5              4        844.531       0.975518              0        844.531              
2.4            2.7              5              4        629.842       0.920582              0        629.842              
2.7              3              5              4        468.323       0.929251              0        468.323              
3            3.5              5              4        347.648        1.00132              0        347.648              
3.5              4              5              4        211.189        1.01635              0        211.189              
4              5              5              4        128.166        1.00188              0        128.166              
