{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Correction   L1FastJet}
   -5   -4.9   5   0   200          0.95823        -0.00081849        -0.00015251
 -4.9   -4.8   5   0   200          0.96198        -0.00047272        -0.00013533
 -4.8   -4.7   5   0   200          0.96466         0.00056658        -0.00012569
 -4.7   -4.6   5   0   200          0.97546         0.00031249        -9.5888e-05
 -4.6   -4.5   5   0   200          0.96829          0.0032501         -0.0001124
 -4.5   -4.4   5   0   200          0.98724          0.0028582        -9.5337e-05
 -4.4   -4.3   5   0   200           1.0119          0.0018866        -6.9198e-05
 -4.3   -4.2   5   0   200           1.0263          0.0015244        -5.6307e-05
 -4.2   -4.1   5   0   200           1.0596        -0.00033081        -1.5617e-05
 -4.1     -4   5   0   200           1.0818        -0.00026671        -1.0853e-05
   -4   -3.9   5   0   200           1.1072         -0.0014796         2.0525e-05
 -3.9   -3.8   5   0   200           1.1487         -0.0028528         6.1361e-05
 -3.8   -3.7   5   0   200           1.1813         -0.0038977          9.103e-05
 -3.7   -3.6   5   0   200           1.2134         -0.0055232         0.00013602
 -3.6   -3.5   5   0   200            1.245         -0.0073429         0.00018255
 -3.5   -3.4   5   0   200           1.2846          -0.009811          0.0002387
 -3.4   -3.3   5   0   200           1.2711         -0.0071642         0.00021621
 -3.3   -3.2   5   0   200           1.2589          -0.011707         0.00032396
 -3.2   -3.1   5   0   200           1.2137          -0.014213         0.00037511
 -3.1     -3   5   0   200           1.1526          -0.013211         0.00032458
   -3   -2.9   5   0   200           1.1073          -0.013792         0.00033603
 -2.9   -2.8   5   0   200           1.0581          -0.012464         0.00029311
 -2.8   -2.7   5   0   200           1.0139          -0.011263          0.0002521
 -2.7   -2.6   5   0   200          0.98428          -0.010342         0.00022538
 -2.6   -2.5   5   0   200          0.95091         -0.0099254         0.00020438
 -2.5   -2.4   5   0   200          0.94609          -0.011517         0.00023119
 -2.4   -2.3   5   0   200          0.95537          -0.015172         0.00025302
 -2.3   -2.2   5   0   200          0.96999          -0.011602         0.00017461
 -2.2   -2.1   5   0   200          0.98065         -0.0071041         0.00010147
 -2.1     -2   5   0   200          0.99231         -0.0047245         8.2779e-05
   -2   -1.9   5   0   200           1.0056         -0.0032463         8.2783e-05
 -1.9   -1.8   5   0   200           1.0126         -0.0021828          8.233e-05
 -1.8   -1.7   5   0   200           1.0275         -0.0021606         0.00010664
 -1.7   -1.6   5   0   200            1.035          -0.002043         0.00012265
 -1.6   -1.5   5   0   200           1.0379         -0.0018524         0.00013419
 -1.5   -1.4   5   0   200           1.0366         -0.0014727         0.00013654
 -1.4   -1.3   5   0   200           1.0324         -0.0010499         0.00013503
 -1.3   -1.2   5   0   200           1.0337         -0.0011756         0.00014305
 -1.2   -1.1   5   0   200           1.0337         -0.0013037         0.00015146
 -1.1     -1   5   0   200           1.0301         -0.0008293         0.00013934
   -1   -0.9   5   0   200           1.0289        -0.00082065         0.00013967
 -0.9   -0.8   5   0   200           1.0215        -0.00013763         0.00012101
 -0.8   -0.7   5   0   200           1.0209         0.00013058          0.0001083
 -0.7   -0.6   5   0   200           1.0307        -0.00060151         0.00011887
 -0.6   -0.5   5   0   200            1.047         -0.0019891         0.00014687
 -0.5   -0.4   5   0   200           1.0669         -0.0035607         0.00017789
 -0.4   -0.3   5   0   200           1.0851         -0.0050552         0.00021037
 -0.3   -0.2   5   0   200           1.0983         -0.0060875         0.00023318
 -0.2   -0.1   5   0   200           1.1057         -0.0066506         0.00024541
 -0.1      0   5   0   200           1.1071         -0.0067612         0.00024723
    0    0.1   5   0   200           1.1017         -0.0062293         0.00023325
  0.1    0.2   5   0   200           1.0905         -0.0052056         0.00020634
  0.2    0.3   5   0   200           1.0757         -0.0040595         0.00018019
  0.3    0.4   5   0   200           1.0529         -0.0021042         0.00013381
  0.4    0.5   5   0   200           1.0299        -0.00023034          9.261e-05
  0.5    0.6   5   0   200           1.0112          0.0013149         6.0197e-05
  0.6    0.7   5   0   200           1.0057          0.0015103         6.2075e-05
  0.7    0.8   5   0   200           1.0019          0.0014908          7.007e-05
  0.8    0.9   5   0   200           1.0022          0.0010694         8.7191e-05
  0.9      1   5   0   200            1.009         0.00045451         0.00010421
    1    1.1   5   0   200           1.0145         9.2661e-05         0.00011386
  1.1    1.2   5   0   200           1.0212        -0.00035194         0.00012313
  1.2    1.3   5   0   200           1.0278        -0.00078743         0.00013211
  1.3    1.4   5   0   200           1.0352         -0.0012857         0.00013945
  1.4    1.5   5   0   200           1.0432         -0.0017484         0.00014211
  1.5    1.6   5   0   200           1.0518         -0.0025602         0.00015023
  1.6    1.7   5   0   200           1.0514         -0.0027499         0.00013878
  1.7    1.8   5   0   200           1.0461         -0.0030453         0.00012645
  1.8    1.9   5   0   200           1.0334         -0.0034826         0.00011181
  1.9      2   5   0   200           1.0201          -0.004433         0.00010437
    2    2.1   5   0   200           1.0051         -0.0063107         0.00011298
  2.1    2.2   5   0   200          0.98528           -0.00838         0.00012835
  2.2    2.3   5   0   200          0.96829          -0.012518         0.00019571
  2.3    2.4   5   0   200          0.94387          -0.015536         0.00027386
  2.4    2.5   5   0   200          0.92309          -0.012857         0.00026989
  2.5    2.6   5   0   200          0.92802          -0.012031         0.00026595
  2.6    2.7   5   0   200          0.96119          -0.013117         0.00030717
  2.7    2.8   5   0   200          0.98936          -0.014392         0.00034492
  2.8    2.9   5   0   200           1.0284          -0.014545         0.00035213
  2.9      3   5   0   200           1.0751          -0.015553         0.00038472
    3    3.1   5   0   200           1.1339          -0.016556         0.00041892
  3.1    3.2   5   0   200           1.1765          -0.014841         0.00038599
  3.2    3.3   5   0   200           1.2456          -0.015368         0.00042183
  3.3    3.4   5   0   200           1.2537         -0.0094415          0.0002776
  3.4    3.5   5   0   200           1.2626         -0.0096319           0.000238
  3.5    3.6   5   0   200           1.2347         -0.0077001         0.00019642
  3.6    3.7   5   0   200           1.2072          -0.005798         0.00014599
  3.7    3.8   5   0   200           1.1947         -0.0052164          0.0001297
  3.8    3.9   5   0   200           1.1636         -0.0040741         9.6465e-05
  3.9      4   5   0   200           1.1296         -0.0030754         6.4576e-05
    4    4.1   5   0   200            1.106         -0.0019723         3.6801e-05
  4.1    4.2   5   0   200           1.0821          -0.001492         1.6605e-05
  4.2    4.3   5   0   200           1.0569         0.00015905        -2.0653e-05
  4.3    4.4   5   0   200           1.0377          0.0013333        -5.6849e-05
  4.4    4.5   5   0   200           1.0227          0.0022496        -8.5457e-05
  4.5    4.6   5   0   200          0.99785          0.0029272         -0.0001101
  4.6    4.7   5   0   200          0.99791          0.0003435         -0.0001103
  4.7    4.8   5   0   200          0.99131         0.00055629        -0.00014287
  4.8    4.9   5   0   200          0.99014        -0.00015221        -0.00016663
  4.9      5   5   0   200          0.99762        -0.00061034         -0.0001888
