{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Correction   L1FastJet}
   -5   -4.9   5   0   200          0.80233          0.0048602        -0.00013653
 -4.9   -4.8   5   0   200          0.79092          0.0063779        -0.00014078
 -4.8   -4.7   5   0   200          0.78684          0.0069919        -0.00014082
 -4.7   -4.6   5   0   200          0.78275          0.0075975        -0.00014183
 -4.6   -4.5   5   0   200          0.79454          0.0077625         -0.0001363
 -4.5   -4.4   5   0   200           0.8028          0.0076023        -0.00013088
 -4.4   -4.3   5   0   200          0.84313          0.0056834        -0.00011263
 -4.3   -4.2   5   0   200          0.86839          0.0043115        -0.00010247
 -4.2   -4.1   5   0   200          0.91437          0.0028193         -9.295e-05
 -4.1     -4   5   0   200           0.9581          0.0013549        -8.9447e-05
   -4   -3.9   5   0   200          0.99401         8.4811e-05        -8.9188e-05
 -3.9   -3.8   5   0   200           1.0273        -0.00061811        -8.7711e-05
 -3.8   -3.7   5   0   200           1.0639         -0.0014325        -9.1666e-05
 -3.7   -3.6   5   0   200           1.0862         -0.0020634        -9.1667e-05
 -3.6   -3.5   5   0   200           1.1097         -0.0022225        -9.2966e-05
 -3.5   -3.4   5   0   200           1.1388         -0.0025011        -9.2179e-05
 -3.4   -3.3   5   0   200           1.1608         -0.0028452        -7.6626e-05
 -3.3   -3.2   5   0   200           1.1671         -0.0035519        -4.6382e-05
 -3.2   -3.1   5   0   200           1.1505            -0.0038        -3.6124e-05
 -3.1     -3   5   0   200             1.13         -0.0036711        -2.5705e-05
   -3   -2.9   5   0   200           1.1052         -0.0032909        -2.3943e-05
 -2.9   -2.8   5   0   200           1.0645         -0.0022771        -2.5584e-05
 -2.8   -2.7   5   0   200           1.0392         -0.0014778        -3.1033e-05
 -2.7   -2.6   5   0   200           1.0038        -4.9388e-06        -4.1844e-05
 -2.6   -2.5   5   0   200          0.95379          0.0018217        -5.7821e-05
 -2.5   -2.4   5   0   200          0.93917          0.0022427        -5.5427e-05
 -2.4   -2.3   5   0   200          0.91266          0.0024401        -4.1865e-05
 -2.3   -2.2   5   0   200          0.90427          0.0027367        -2.2629e-05
 -2.2   -2.1   5   0   200          0.90019          0.0030202        -1.8043e-05
 -2.1     -2   5   0   200          0.90058          0.0030518        -1.7935e-06
   -2   -1.9   5   0   200          0.90336          0.0026951         1.3439e-05
 -1.9   -1.8   5   0   200           0.9055          0.0022444         3.8046e-05
 -1.8   -1.7   5   0   200          0.91994          0.0013495           6.31e-05
 -1.7   -1.6   5   0   200          0.92639         0.00089005         7.6114e-05
 -1.6   -1.5   5   0   200          0.93631          0.0002482         7.9125e-05
 -1.5   -1.4   5   0   200          0.94611        -0.00015893         8.0644e-05
 -1.4   -1.3   5   0   200          0.95267        -0.00046026         8.7982e-05
 -1.3   -1.2   5   0   200          0.96013        -0.00068823         9.7441e-05
 -1.2   -1.1   5   0   200          0.96398        -0.00069444         0.00010898
 -1.1     -1   5   0   200          0.96805         -0.0008383         0.00011294
   -1   -0.9   5   0   200          0.96817         -0.0008979         0.00012069
 -0.9   -0.8   5   0   200           0.9645        -0.00087151         0.00012305
 -0.8   -0.7   5   0   200          0.96718         -0.0010754         0.00012722
 -0.7   -0.6   5   0   200          0.96996         -0.0012367         0.00014996
 -0.6   -0.5   5   0   200          0.97403          -0.001493         0.00017467
 -0.5   -0.4   5   0   200          0.98396         -0.0019619         0.00019096
 -0.4   -0.3   5   0   200          0.98822          -0.002168         0.00020478
 -0.3   -0.2   5   0   200          0.98869         -0.0022311         0.00021704
 -0.2   -0.1   5   0   200          0.98747         -0.0022192         0.00021793
 -0.1      0   5   0   200           0.9844         -0.0021616          0.0002238
    0    0.1   5   0   200          0.97936         -0.0020968         0.00023051
  0.1    0.2   5   0   200          0.97314         -0.0019504         0.00022264
  0.2    0.3   5   0   200          0.96337         -0.0016923         0.00021277
  0.3    0.4   5   0   200          0.95165         -0.0013005         0.00019588
  0.4    0.5   5   0   200          0.93936        -0.00079666         0.00017269
  0.5    0.6   5   0   200          0.92954        -0.00033175         0.00016371
  0.6    0.7   5   0   200          0.92951        -0.00021109         0.00015689
  0.7    0.8   5   0   200          0.92913        -8.3658e-05         0.00014181
  0.8    0.9   5   0   200           0.9274         0.00012899          0.0001277
  0.9      1   5   0   200          0.93376         8.3203e-05         0.00011221
    1    1.1   5   0   200          0.93702         0.00017502         0.00010748
  1.1    1.2   5   0   200          0.94128         1.1884e-05         0.00010643
  1.2    1.3   5   0   200          0.94438        -7.7091e-05         0.00010287
  1.3    1.4   5   0   200          0.94718         -0.0001647         9.9255e-05
  1.4    1.5   5   0   200          0.95032        -0.00012812         9.4411e-05
  1.5    1.6   5   0   200          0.95007        -7.0466e-05         7.9672e-05
  1.6    1.7   5   0   200          0.94557         0.00010875         5.9497e-05
  1.7    1.8   5   0   200          0.94108         0.00045175          5.064e-05
  1.8    1.9   5   0   200          0.92932          0.0010306         3.0419e-05
  1.9      2   5   0   200          0.92469          0.0013824          1.145e-05
    2    2.1   5   0   200          0.91785          0.0017112         6.4592e-07
  2.1    2.2   5   0   200            0.912          0.0021071        -1.2919e-05
  2.2    2.3   5   0   200          0.91289          0.0021914        -1.9193e-05
  2.3    2.4   5   0   200          0.90796          0.0019581        -3.6959e-05
  2.4    2.5   5   0   200          0.91418          0.0018696        -4.7525e-05
  2.5    2.6   5   0   200          0.91951          0.0015773        -4.9588e-05
  2.6    2.7   5   0   200          0.96189        -0.00017226        -3.3321e-05
  2.7    2.8   5   0   200          0.99085         -0.0014092        -2.3572e-05
  2.8    2.9   5   0   200           1.0146         -0.0022087        -1.7944e-05
  2.9      3   5   0   200           1.0573         -0.0033996         -1.587e-05
    3    3.1   5   0   200           1.0829         -0.0038994        -1.6779e-05
  3.1    3.2   5   0   200           1.1071         -0.0043134        -2.6294e-05
  3.2    3.3   5   0   200           1.1295         -0.0042607         -3.821e-05
  3.3    3.4   5   0   200           1.1369          -0.003176        -7.0717e-05
  3.4    3.5   5   0   200           1.1251         -0.0027624        -8.8693e-05
  3.5    3.6   5   0   200           1.1026         -0.0026086        -8.9788e-05
  3.6    3.7   5   0   200           1.0891         -0.0025244        -8.9537e-05
  3.7    3.8   5   0   200           1.0767         -0.0023395        -9.1296e-05
  3.8    3.9   5   0   200            1.047         -0.0017696        -8.8527e-05
  3.9      4   5   0   200            1.019         -0.0011245        -8.9134e-05
    4    4.1   5   0   200          0.98308         0.00021912        -8.8149e-05
  4.1    4.2   5   0   200           0.9439          0.0017995         -9.115e-05
  4.2    4.3   5   0   200          0.89956          0.0036538        -0.00010042
  4.3    4.4   5   0   200          0.88206           0.004718        -0.00010989
  4.4    4.5   5   0   200           0.8489          0.0065435        -0.00012552
  4.5    4.6   5   0   200          0.83911          0.0067742        -0.00013087
  4.6    4.7   5   0   200          0.82449          0.0065095        -0.00013692
  4.7    4.8   5   0   200          0.83277          0.0058413        -0.00013609
