{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Correction   L1FastJet}
   -5   -4.9   5   0   200          0.98581         -0.0084792        -8.2546e-05
 -4.9   -4.8   5   0   200          0.98513         -0.0078651        -7.7451e-05
 -4.8   -4.7   5   0   200          0.98978           -0.00665        -6.9942e-05
 -4.7   -4.6   5   0   200          0.99207         -0.0058007        -6.3362e-05
 -4.6   -4.5   5   0   200           1.0021         -0.0051307        -5.8025e-05
 -4.5   -4.4   5   0   200           1.0107         -0.0041782        -5.0597e-05
 -4.4   -4.3   5   0   200            1.014         -0.0027767        -3.9529e-05
 -4.3   -4.2   5   0   200           1.0322         -0.0026213        -3.4529e-05
 -4.2   -4.1   5   0   200           1.0438         -0.0025055         -2.986e-05
 -4.1     -4   5   0   200           1.0614         -0.0022504        -2.6605e-05
   -4   -3.9   5   0   200           1.0807          -0.002271        -2.2143e-05
 -3.9   -3.8   5   0   200           1.0947         -0.0020481        -1.8954e-05
 -3.8   -3.7   5   0   200           1.1093         -0.0016849        -1.6086e-05
 -3.7   -3.6   5   0   200           1.1238          -0.001535         -1.029e-05
 -3.6   -3.5   5   0   200           1.1417         0.00032996        -4.3913e-05
 -3.5   -3.4   5   0   200           1.1472          0.0011432         -6.575e-05
 -3.4   -3.3   5   0   200           1.1397          0.0014411        -7.5737e-05
 -3.3   -3.2   5   0   200           1.1328          0.0017843        -8.6341e-05
 -3.2   -3.1   5   0   200           1.1154          0.0024881        -9.9468e-05
 -3.1     -3   5   0   200           1.0941          0.0033385        -0.00011479
   -3   -2.9   5   0   200           1.0697          0.0038447        -0.00012204
 -2.9   -2.8   5   0   200           1.0434          0.0043617        -0.00012717
 -2.8   -2.7   5   0   200           1.0179          0.0046166        -0.00012903
 -2.7   -2.6   5   0   200          0.99511          0.0047185        -0.00012534
 -2.6   -2.5   5   0   200          0.97611          0.0044839        -0.00011988
 -2.5   -2.4   5   0   200          0.96088          0.0040904        -0.00010855
 -2.4   -2.3   5   0   200          0.94379          0.0033637        -9.2196e-05
 -2.3   -2.2   5   0   200          0.93273          0.0022354        -5.9126e-05
 -2.2   -2.1   5   0   200          0.92567         3.0139e-05         -2.117e-05
 -2.1     -2   5   0   200          0.92599         0.00013953        -7.3259e-06
   -2   -1.9   5   0   200          0.93146         5.9701e-05         3.9545e-06
 -1.9   -1.8   5   0   200          0.93526         2.1957e-06         1.2214e-05
 -1.8   -1.7   5   0   200          0.93978         -9.452e-05         2.0156e-05
 -1.7   -1.6   5   0   200          0.94304         -0.0002019         2.8134e-05
