{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Correction   L1FastJet}
   -5   -4.9   5   0   200          0.98581         -0.0084792        -8.2546e-05
 -4.9   -4.8   5   0   200          0.98513         -0.0078651        -7.7451e-05
 -4.8   -4.7   5   0   200          0.98978           -0.00665        -6.9942e-05
 -4.7   -4.6   5   0   200          0.99207         -0.0058007        -6.3362e-05
 -4.6   -4.5   5   0   200           1.0021         -0.0051307        -5.8025e-05
 -4.5   -4.4   5   0   200           1.0107         -0.0041782        -5.0597e-05
 -4.4   -4.3   5   0   200            1.014         -0.0027767        -3.9529e-05
 -4.3   -4.2   5   0   200           1.0322         -0.0026213        -3.4529e-05
 -4.2   -4.1   5   0   200           1.0438         -0.0025055         -2.986e-05
 -4.1     -4   5   0   200           1.0614         -0.0022504        -2.6605e-05
   -4   -3.9   5   0   200           1.0807          -0.002271        -2.2143e-05
 -3.9   -3.8   5   0   200           1.0947         -0.0020481        -1.8954e-05
 -3.8   -3.7   5   0   200           1.1093         -0.0016849        -1.6086e-05
 -3.7   -3.6   5   0   200           1.1238          -0.001535         -1.029e-05
 -3.6   -3.5   5   0   200           1.1417         0.00032996        -4.3913e-05
 -3.5   -3.4   5   0   200           1.1472          0.0011433         -6.575e-05
 -3.4   -3.3   5   0   200           1.1397          0.0014413         -7.574e-05
 -3.3   -3.2   5   0   200           1.1334          0.0017805         -8.613e-05
 -3.2   -3.1   5   0   200           1.1202           0.002462        -9.8202e-05
 -3.1     -3   5   0   200           1.1062             0.0033        -0.00011128
   -3   -2.9   5   0   200           1.0897          0.0038405         -0.0001179
 -2.9   -2.8   5   0   200            1.071           0.004472        -0.00012276
 -2.8   -2.7   5   0   200           1.0507          0.0050129        -0.00012832
 -2.7   -2.6   5   0   200           1.0319          0.0054784        -0.00012812
 -2.6   -2.5   5   0   200           1.0161          0.0056642        -0.00012625
 -2.5   -2.4   5   0   200           1.0013          0.0056456        -0.00011595
 -2.4   -2.3   5   0   200           0.9821          0.0052018        -9.5791e-05
 -2.3   -2.2   5   0   200          0.96893          0.0040708        -4.8757e-05
 -2.2   -2.1   5   0   200          0.96187         0.00084787          2.796e-05
 -2.1     -2   5   0   200          0.96514          0.0011441         7.0115e-05
   -2   -1.9   5   0   200          0.97423          0.0010393         8.7512e-05
 -1.9   -1.8   5   0   200          0.97873         0.00082357         0.00010177
 -1.8   -1.7   5   0   200          0.98288         0.00062997         0.00010798
 -1.7   -1.6   5   0   200          0.98599         0.00039254         0.00011471
