{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
   -5   -4.9   5   0   200           1.0386          -0.011301        -9.4754e-05
 -4.9   -4.8   5   0   200           1.0339          -0.009763        -8.9151e-05
 -4.8   -4.7   5   0   200           1.0318         -0.0079345          -7.52e-05
 -4.7   -4.6   5   0   200           1.0309         -0.0066084        -6.6214e-05
 -4.6   -4.5   5   0   200           1.0259         -0.0035156        -4.7475e-05
 -4.5   -4.4   5   0   200           1.0404         -0.0032853        -4.3214e-05
 -4.4   -4.3   5   0   200           1.0568         -0.0032195         -3.436e-05
 -4.3   -4.2   5   0   200           1.0673         -0.0030553        -2.9193e-05
 -4.2   -4.1   5   0   200           1.0879         -0.0034231        -2.0925e-05
 -4.1     -4   5   0   200           1.1084         -0.0030405        -1.9261e-05
   -4   -3.9   5   0   200           1.1236         -0.0029574        -1.5221e-05
 -3.9   -3.8   5   0   200           1.1527         -0.0027394        -1.0678e-05
 -3.8   -3.7   5   0   200           1.1756         -0.0025084        -9.4055e-06
 -3.7   -3.6   5   0   200           1.1927          -0.002265        -3.6567e-06
 -3.6   -3.5   5   0   200           1.2072         -0.0020447         4.6064e-06
 -3.5   -3.4   5   0   200           1.2266         -0.0020278         1.5005e-05
 -3.4   -3.3   5   0   200           1.2354          0.0012112        -4.4067e-05
 -3.3   -3.2   5   0   200           1.2345          0.0023535        -8.3344e-05
 -3.2   -3.1   5   0   200           1.2098          0.0025572        -9.4301e-05
 -3.1     -3   5   0   200           1.1842          0.0032705        -0.00011661
   -3   -2.9   5   0   200           1.1481          0.0040779        -0.00013253
 -2.9   -2.8   5   0   200           1.1081          0.0050332        -0.00014922
 -2.8   -2.7   5   0   200           1.0716             0.0055        -0.00015697
 -2.7   -2.6   5   0   200           1.0384          0.0055827        -0.00014888
 -2.6   -2.5   5   0   200           1.0051          0.0049509        -0.00013529
 -2.5   -2.4   5   0   200           0.9813          0.0035001         -8.928e-05
 -2.4   -2.3   5   0   200          0.96326        -0.00021612        -3.9402e-05
 -2.3   -2.2   5   0   200          0.96028        -0.00011296          -1.13e-05
 -2.2   -2.1   5   0   200          0.96477         -0.0002151        -2.7034e-06
 -2.1     -2   5   0   200          0.96904        -0.00051572          9.019e-06
   -2   -1.9   5   0   200          0.97644        -0.00079899         1.7342e-05
 -1.9   -1.8   5   0   200          0.98177         -0.0009952          1.839e-05
 -1.8   -1.7   5   0   200          0.98856         -0.0011186         2.9058e-05
 -1.7   -1.6   5   0   200          0.99191         -0.0010867         3.7316e-05
 -1.6   -1.5   5   0   200          0.99404        -0.00094705          4.198e-05
 -1.5   -1.4   5   0   200          0.99572        -0.00080878         4.8706e-05
 -1.4   -1.3   5   0   200          0.99691        -0.00067077         5.2443e-05
 -1.3   -1.2   5   0   200          0.99786        -0.00061837         5.8098e-05
 -1.2   -1.1   5   0   200          0.99771        -0.00053189         6.1462e-05
 -1.1     -1   5   0   200          0.99706        -0.00044794         6.1688e-05
   -1   -0.9   5   0   200          0.99566        -0.00042667          6.198e-05
 -0.9   -0.8   5   0   200          0.99382        -0.00046845          5.968e-05
 -0.8   -0.7   5   0   200          0.99438        -0.00063465         5.8577e-05
 -0.7   -0.6   5   0   200          0.99705        -0.00088607         5.8528e-05
 -0.6   -0.5   5   0   200           1.0006         -0.0011741         5.7618e-05
 -0.5   -0.4   5   0   200           1.0052         -0.0014762         5.6548e-05
 -0.4   -0.3   5   0   200           1.0088         -0.0017509         5.7709e-05
 -0.3   -0.2   5   0   200           1.0109         -0.0018899         5.5292e-05
 -0.2   -0.1   5   0   200            1.012         -0.0020063         5.6169e-05
 -0.1      0   5   0   200           1.0113         -0.0020178          5.645e-05
    0    0.1   5   0   200           1.0098         -0.0019327         5.3396e-05
  0.1    0.2   5   0   200           1.0075         -0.0018538         5.4594e-05
  0.2    0.3   5   0   200           1.0035         -0.0016004         5.0089e-05
  0.3    0.4   5   0   200          0.99834         -0.0013092         4.8797e-05
  0.4    0.5   5   0   200          0.99332         -0.0010163         4.8717e-05
  0.5    0.6   5   0   200          0.98931        -0.00073306         5.0044e-05
  0.6    0.7   5   0   200          0.98782        -0.00057309         5.1911e-05
  0.7    0.8   5   0   200          0.98716        -0.00051671         5.6781e-05
  0.8    0.9   5   0   200          0.98671        -0.00040185         6.2827e-05
  0.9      1   5   0   200          0.98822        -0.00031722         6.4106e-05
    1    1.1   5   0   200          0.99061        -0.00039325         6.6424e-05
  1.1    1.2   5   0   200          0.99288        -0.00054926         7.1148e-05
  1.2    1.3   5   0   200          0.99464        -0.00065106         7.0781e-05
  1.3    1.4   5   0   200           0.9963        -0.00080783         6.8813e-05
  1.4    1.5   5   0   200          0.99801         -0.0010019         6.5868e-05
  1.5    1.6   5   0   200          0.99886         -0.0011726         6.0713e-05
  1.6    1.7   5   0   200          0.99813         -0.0012211         5.1087e-05
  1.7    1.8   5   0   200          0.99619         -0.0013032         4.3782e-05
  1.8    1.9   5   0   200          0.99218          -0.001374         4.0502e-05
  1.9      2   5   0   200          0.98752         -0.0012296         3.8971e-05
    2    2.1   5   0   200          0.98055         -0.0010626         3.8962e-05
  2.1    2.2   5   0   200          0.97523        -0.00078372         3.8025e-05
  2.2    2.3   5   0   200          0.96848        -0.00055125         3.4555e-05
  2.3    2.4   5   0   200          0.96054        -9.9431e-05          1.112e-05
  2.4    2.5   5   0   200          0.96252           0.002919        -5.6571e-05
  2.5    2.6   5   0   200          0.97615          0.0041596        -9.0108e-05
  2.6    2.7   5   0   200          0.99962          0.0047459        -0.00010654
  2.7    2.8   5   0   200            1.021          0.0049027         -0.0001197
  2.8    2.9   5   0   200           1.0541          0.0045073         -0.0001165
  2.9      3   5   0   200           1.0877          0.0038468        -0.00011102
    3    3.1   5   0   200           1.1271          0.0028366        -9.4449e-05
  3.1    3.2   5   0   200           1.1548          0.0019741        -7.7094e-05
  3.2    3.3   5   0   200           1.1904          0.0011096        -4.9184e-05
  3.3    3.4   5   0   200            1.204         0.00045021        -2.6669e-05
  3.4    3.5   5   0   200            1.207         -0.0019291         7.0022e-06
  3.5    3.6   5   0   200           1.1952         -0.0020126         4.3359e-07
  3.6    3.7   5   0   200           1.1847         -0.0021443        -1.1661e-05
  3.7    3.8   5   0   200           1.1784          -0.002402        -1.4341e-05
  3.8    3.9   5   0   200           1.1576         -0.0025931        -2.0486e-05
  3.9      4   5   0   200           1.1329         -0.0028329        -2.6015e-05
    4    4.1   5   0   200           1.1183         -0.0029255        -2.6915e-05
  4.1    4.2   5   0   200           1.1005          -0.003314        -2.6566e-05
  4.2    4.3   5   0   200           1.0869         -0.0031497        -2.7396e-05
  4.3    4.4   5   0   200           1.0776         -0.0032508        -3.7283e-05
  4.4    4.5   5   0   200           1.0722         -0.0036299        -3.8273e-05
  4.5    4.6   5   0   200           1.0537         -0.0037949         -4.457e-05
  4.6    4.7   5   0   200           1.0562         -0.0071822        -6.3053e-05
  4.7    4.8   5   0   200           1.0623         -0.0086816        -7.3786e-05
  4.8    4.9   5   0   200           1.0698          -0.010648        -9.3222e-05
  4.9      5   5   0   200           1.0874           -0.01258        -9.7132e-05
